,YearStart,YearEnd,LocationAbbr,LocationDesc,DataSource,Topic,Question,Response,DataValueUnit,DataValueType,DataValue,DataValueAlt,DataValueFootnoteSymbol,DatavalueFootnote,LowConfidenceLimit,HighConfidenceLimit,StratificationCategory1,Stratification1,StratificationCategory2,Stratification2,StratificationCategory3,Stratification3,GeoLocation,ResponseID,LocationID,TopicID,QuestionID,DataValueTypeID,StratificationCategoryID1,StratificationID1,StratificationCategoryID2,StratificationID2,StratificationCategoryID3,StratificationID3
10455,2016,2016,IL,Illinois,BRFSS,Cancer,Mammography use among women aged 50-74 years,,%,Crude Prevalence,77.9,77.9,,,75.0,80.6,Overall,Overall,,,,,"(40.48501028300046, -88.99771017799969)",,17,CAN,CAN1_0,CRDPREV,OVERALL,OVR,,,,
10550,2016,2016,ND,North Dakota,BRFSS,Cancer,Mammography use among women aged 50-74 years,,%,Crude Prevalence,74.8,74.8,,,72.0,77.3,Overall,Overall,,,,,"(47.47531977900047, -100.11842104899966)",,38,CAN,CAN1_0,CRDPREV,OVERALL,OVR,,,,
10682,2016,2016,OH,Ohio,BRFSS,Cancer,Mammography use among women aged 50-74 years,,%,Crude Prevalence,77.2,77.2,,,75.0,79.2,Overall,Overall,,,,,"(40.06021014100048, -82.40426005599966)",,39,CAN,CAN1_0,CRDPREV,OVERALL,OVR,,,,
10705,2016,2016,OK,Oklahoma,BRFSS,Cancer,Mammography use among women aged 50-74 years,,%,Crude Prevalence,74.4,74.4,,,71.9,76.7,Overall,Overall,,,,,"(35.47203135600046, -97.52107021399968)",,40,CAN,CAN1_0,CRDPREV,OVERALL,OVR,,,,
10767,2016,2016,IN,Indiana,BRFSS,Cancer,Mammography use among women aged 50-74 years,,%,Crude Prevalence,72.0,72.0,,,69.9,73.9,Overall,Overall,,,,,"(39.766910452000445, -86.14996019399968)",,18,CAN,CAN1_0,CRDPREV,OVERALL,OVR,,,,
10835,2016,2016,OR,Oregon,BRFSS,Cancer,Mammography use among women aged 50-74 years,,%,Crude Prevalence,73.4,73.4,,,70.6,76.1,Overall,Overall,,,,,"(44.56744942400047, -120.15503132599969)",,41,CAN,CAN1_0,CRDPREV,OVERALL,OVR,,,,
11200,2016,2016,IA,Iowa,BRFSS,Cancer,Mammography use among women aged 50-74 years,,%,Crude Prevalence,77.5,77.5,,,75.1,79.8,Overall,Overall,,,,,"(42.46940091300047, -93.81649055599968)",,19,CAN,CAN1_0,CRDPREV,OVERALL,OVR,,,,
11831,2016,2016,KS,Kansas,BRFSS,Cancer,Mammography use among women aged 50-74 years,,%,Crude Prevalence,75.5,75.5,,,73.7,77.3,Overall,Overall,,,,,"(38.34774030000045, -98.20078122699965)",,20,CAN,CAN1_0,CRDPREV,OVERALL,OVR,,,,
11907,2016,2016,KY,Kentucky,BRFSS,Cancer,Mammography use among women aged 50-74 years,,%,Crude Prevalence,76.8,76.8,,,74.3,79.1,Overall,Overall,,,,,"(37.645970271000465, -84.77497104799966)",,21,CAN,CAN1_0,CRDPREV,OVERALL,OVR,,,,
12380,2016,2016,LA,Louisiana,BRFSS,Cancer,Mammography use among women aged 50-74 years,,%,Crude Prevalence,78.7,78.7,,,75.7,81.5,Overall,Overall,,,,,"(31.31266064400046, -92.44568007099969)",,22,CAN,CAN1_0,CRDPREV,OVERALL,OVR,,,,
12403,2016,2016,PA,Pennsylvania,BRFSS,Cancer,Mammography use among women aged 50-74 years,,%,Crude Prevalence,75.6,75.6,,,72.8,78.2,Overall,Overall,,,,,"(40.79373015200048, -77.86070029399963)",,42,CAN,CAN1_0,CRDPREV,OVERALL,OVR,,,,
12574,2016,2016,ME,Maine,BRFSS,Cancer,Mammography use among women aged 50-74 years,,%,Crude Prevalence,80.8,80.8,,,78.9,82.7,Overall,Overall,,,,,"(45.254228894000505, -68.98503133599962)",,23,CAN,CAN1_0,CRDPREV,OVERALL,OVR,,,,
12618,2016,2016,MD,Maryland,BRFSS,Cancer,Mammography use among women aged 50-74 years,,%,Crude Prevalence,81.1,81.1,,,79.5,82.6,Overall,Overall,,,,,"(39.29058096400047, -76.60926011099963)",,24,CAN,CAN1_0,CRDPREV,OVERALL,OVR,,,,
12722,2016,2016,MA,Massachusetts,BRFSS,Cancer,Mammography use among women aged 50-74 years,,%,Crude Prevalence,86.0,86.0,,,83.6,88.0,Overall,Overall,,,,,"(42.27687047000046, -72.08269067499964)",,25,CAN,CAN1_0,CRDPREV,OVERALL,OVR,,,,
12760,2016,2016,MI,Michigan,BRFSS,Cancer,Mammography use among women aged 50-74 years,,%,Crude Prevalence,79.3,79.3,,,77.5,81.1,Overall,Overall,,,,,"(44.6613195430005, -84.71439026999968)",,26,CAN,CAN1_0,CRDPREV,OVERALL,OVR,,,,
12779,2016,2016,MN,Minnesota,BRFSS,Cancer,Mammography use among women aged 50-74 years,,%,Crude Prevalence,82.2,82.2,,,80.8,83.6,Overall,Overall,,,,,"(46.35564873600049, -94.79420050299967)",,27,CAN,CAN1_0,CRDPREV,OVERALL,OVR,,,,
13007,2016,2016,MS,Mississippi,BRFSS,Cancer,Mammography use among women aged 50-74 years,,%,Crude Prevalence,71.6,71.6,,,68.5,74.6,Overall,Overall,,,,,"(32.745510099000455, -89.53803082499968)",,28,CAN,CAN1_0,CRDPREV,OVERALL,OVR,,,,
13253,2016,2016,MO,Missouri,BRFSS,Cancer,Mammography use among women aged 50-74 years,,%,Crude Prevalence,76.3,76.3,,,73.3,79.0,Overall,Overall,,,,,"(38.635790776000476, -92.56630005299968)",,29,CAN,CAN1_0,CRDPREV,OVERALL,OVR,,,,
13275,2016,2016,MT,Montana,BRFSS,Cancer,Mammography use among women aged 50-74 years,,%,Crude Prevalence,73.3,73.3,,,70.1,76.2,Overall,Overall,,,,,"(47.06652897200047, -109.42442064499971)",,30,CAN,CAN1_0,CRDPREV,OVERALL,OVR,,,,
13295,2016,2016,NE,Nebraska,BRFSS,Cancer,Mammography use among women aged 50-74 years,,%,Crude Prevalence,73.4,73.4,,,71.3,75.4,Overall,Overall,,,,,"(41.6410409880005, -99.36572062299967)",,31,CAN,CAN1_0,CRDPREV,OVERALL,OVR,,,,
13317,2016,2016,NV,Nevada,BRFSS,Cancer,Mammography use among women aged 50-74 years,,%,Crude Prevalence,73.6,73.6,,,69.6,77.2,Overall,Overall,,,,,"(39.493240390000494, -117.07184056399967)",,32,CAN,CAN1_0,CRDPREV,OVERALL,OVR,,,,
13500,2016,2016,NH,New Hampshire,BRFSS,Cancer,Mammography use among women aged 50-74 years,,%,Crude Prevalence,81.8,81.8,,,79.5,83.8,Overall,Overall,,,,,"(43.65595011300047, -71.50036091999965)",,33,CAN,CAN1_0,CRDPREV,OVERALL,OVR,,,,
13603,2016,2016,NJ,New Jersey,BRFSS,Cancer,Mammography use among women aged 50-74 years,,%,Crude Prevalence,80.4,80.4,,,77.6,83.0,Overall,Overall,,,,,"(40.13057004800049, -74.27369128799967)",,34,CAN,CAN1_0,CRDPREV,OVERALL,OVR,,,,
13676,2016,2016,NC,North Carolina,BRFSS,Cancer,Mammography use among women aged 50-74 years,,%,Crude Prevalence,79.2,79.2,,,76.6,81.6,Overall,Overall,,,,,"(35.466220975000454, -79.15925046299964)",,37,CAN,CAN1_0,CRDPREV,OVERALL,OVR,,,,
13829,2016,2016,NM,New Mexico,BRFSS,Cancer,Mammography use among women aged 50-74 years,,%,Crude Prevalence,71.7,71.7,,,68.7,74.4,Overall,Overall,,,,,"(34.52088095200048, -106.24058098499967)",,35,CAN,CAN1_0,CRDPREV,OVERALL,OVR,,,,
