,YearStart,YearEnd,LocationAbbr,LocationDesc,DataSource,Topic,Question,Response,DataValueUnit,DataValueType,DataValue,DataValueAlt,DataValueFootnoteSymbol,DatavalueFootnote,LowConfidenceLimit,HighConfidenceLimit,StratificationCategory1,Stratification1,StratificationCategory2,Stratification2,StratificationCategory3,Stratification3,GeoLocation,ResponseID,LocationID,TopicID,QuestionID,DataValueTypeID,StratificationCategoryID1,StratificationID1,StratificationCategoryID2,StratificationID2,StratificationCategoryID3,StratificationID3
38911,2016,2016,MI,Michigan,BRFSS,Chronic Kidney Disease,Prevalence of chronic kidney disease among adults aged >= 18 years,,%,Crude Prevalence,3.7,3.7,,,3.3,4.1,Overall,Overall,,,,,"(44.6613195430005, -84.71439026999968)",,26,CKD,CKD3_0,CRDPREV,OVERALL,OVR,,,,
38962,2016,2016,KY,Kentucky,BRFSS,Chronic Kidney Disease,Prevalence of chronic kidney disease among adults aged >= 18 years,,%,Crude Prevalence,3.6,3.6,,,3.2,4.2,Overall,Overall,,,,,"(37.645970271000465, -84.77497104799966)",,21,CKD,CKD3_0,CRDPREV,OVERALL,OVR,,,,
38979,2016,2016,LA,Louisiana,BRFSS,Chronic Kidney Disease,Prevalence of chronic kidney disease among adults aged >= 18 years,,%,Crude Prevalence,3.1,3.1,,,2.5,3.7,Overall,Overall,,,,,"(31.31266064400046, -92.44568007099969)",,22,CKD,CKD3_0,CRDPREV,OVERALL,OVR,,,,
38984,2016,2016,US,United States,BRFSS,Chronic Kidney Disease,Prevalence of chronic kidney disease among adults aged >= 18 years,,%,Crude Prevalence,2.8,2.8,*,50 States + DC: US Median,2.6,3.1,Overall,Overall,,,,,,,59,CKD,CKD3_0,CRDPREV,OVERALL,OVR,,,,
38985,2016,2016,AL,Alabama,BRFSS,Chronic Kidney Disease,Prevalence of chronic kidney disease among adults aged >= 18 years,,%,Crude Prevalence,3.7,3.7,,,3.2,4.3,Overall,Overall,,,,,"(32.84057112200048, -86.63186076199969)",,1,CKD,CKD3_0,CRDPREV,OVERALL,OVR,,,,
38986,2016,2016,AK,Alaska,BRFSS,Chronic Kidney Disease,Prevalence of chronic kidney disease among adults aged >= 18 years,,%,Crude Prevalence,2.3,2.3,,,1.5,3.4,Overall,Overall,,,,,"(64.84507995700051, -147.72205903599973)",,2,CKD,CKD3_0,CRDPREV,OVERALL,OVR,,,,
38987,2016,2016,AZ,Arizona,BRFSS,Chronic Kidney Disease,Prevalence of chronic kidney disease among adults aged >= 18 years,,%,Crude Prevalence,3.7,3.7,,,3.2,4.3,Overall,Overall,,,,,"(34.865970280000454, -111.76381127699972)",,4,CKD,CKD3_0,CRDPREV,OVERALL,OVR,,,,
38988,2016,2016,AR,Arkansas,BRFSS,Chronic Kidney Disease,Prevalence of chronic kidney disease among adults aged >= 18 years,,%,Crude Prevalence,3.7,3.7,,,3.1,4.5,Overall,Overall,,,,,"(34.74865012400045, -92.27449074299966)",,5,CKD,CKD3_0,CRDPREV,OVERALL,OVR,,,,
38989,2016,2016,CA,California,BRFSS,Chronic Kidney Disease,Prevalence of chronic kidney disease among adults aged >= 18 years,,%,Crude Prevalence,2.8,2.8,,,2.5,3.2,Overall,Overall,,,,,"(37.63864012300047, -120.99999953799971)",,6,CKD,CKD3_0,CRDPREV,OVERALL,OVR,,,,
38990,2016,2016,CO,Colorado,BRFSS,Chronic Kidney Disease,Prevalence of chronic kidney disease among adults aged >= 18 years,,%,Crude Prevalence,2.3,2.3,,,2.0,2.6,Overall,Overall,,,,,"(38.843840757000464, -106.13361092099967)",,8,CKD,CKD3_0,CRDPREV,OVERALL,OVR,,,,
38991,2016,2016,CT,Connecticut,BRFSS,Chronic Kidney Disease,Prevalence of chronic kidney disease among adults aged >= 18 years,,%,Crude Prevalence,2.9,2.9,,,2.5,3.3,Overall,Overall,,,,,"(41.56266102000046, -72.64984095199964)",,9,CKD,CKD3_0,CRDPREV,OVERALL,OVR,,,,
38992,2016,2016,DE,Delaware,BRFSS,Chronic Kidney Disease,Prevalence of chronic kidney disease among adults aged >= 18 years,,%,Crude Prevalence,3.1,3.1,,,2.5,3.8,Overall,Overall,,,,,"(39.008830667000495, -75.57774116799965)",,10,CKD,CKD3_0,CRDPREV,OVERALL,OVR,,,,
38993,2016,2016,DC,District of Columbia,BRFSS,Chronic Kidney Disease,Prevalence of chronic kidney disease among adults aged >= 18 years,,%,Crude Prevalence,2.5,2.5,,,1.9,3.2,Overall,Overall,,,,,"(38.907192, -77.036871)",,11,CKD,CKD3_0,CRDPREV,OVERALL,OVR,,,,
