#"Step","Potential Energy (kJ/mole)","Kinetic Energy (kJ/mole)","Total Energy (kJ/mole)","Temperature (K)","Box Volume (nm^3)","Speed (ns/day)"
2000,-194019.80117730203,14320.485128259432,-179699.3160490426,143.01722416747532,119.72721976984731,0
4000,-186451.28944851214,21069.067636272288,-165382.22181223985,210.41462926351952,120.30687816409129,136
6000,-180313.24327713856,23881.12156525228,-156432.12171188628,238.4983249993806,117.79264731854926,135
8000,-176296.09553978138,26167.31928585947,-150128.7762539219,261.3303484239243,116.65195914538506,133
10000,-173731.98181157885,27205.564483995084,-146526.41732758377,271.6991973080692,116.4296615260426,131
12000,-171829.09424535267,28373.624952607555,-143455.4692927451,283.3644980562304,116.30552327807962,131
14000,-170419.3832261702,28735.76684766612,-141683.61637850408,286.98117222069845,116.3039119869764,131
16000,-169384.7304546571,29281.587867114693,-140103.14258754242,292.4322310636529,117.06653562070319,131
18000,-168724.2835727787,29332.634711045423,-139391.64886173327,292.94203068678695,117.08027778590672,131
20000,-168561.23907346465,29501.409015837125,-139059.83005762752,294.6275624523605,117.80153841173119,130
22000,-167960.5124261924,29470.20016524504,-138490.31226094736,294.3158828450594,118.89460183688254,130
24000,-167774.36124901357,29181.94928897731,-138592.41196003626,291.43715074775764,117.89097937358358,130
26000,-168010.99253699463,29707.03771911643,-138303.9548178782,296.6811553361749,117.72791247214391,130
28000,-168088.76636179257,29858.69096912199,-138230.07539267058,298.1957008740891,117.66038875839135,130
30000,-168173.56720247853,29933.424124212004,-138240.14307826653,298.94205327057034,117.74877384416834,130
32000,-167984.77549749706,30339.797245316324,-137644.97825218074,303.00046017760485,117.88661166527763,130
34000,-167233.41565458453,29424.21540799318,-137809.20024659135,293.8566377652123,118.90756141020344,130
36000,-167826.7542768258,30279.354610196548,-137547.39966662927,302.39682574631456,117.67956559728961,130
38000,-168302.37303387816,30495.487276539905,-137806.88575733826,304.5553206377582,117.88213135033317,130
40000,-167143.99747708114,29691.37546085706,-137452.62201622408,296.524737960619,119.05859166270876,129
42000,-167927.49038069905,30133.978426484857,-137793.5119542142,300.9449686291644,118.16928354392338,129
44000,-167580.96422417427,29721.458985882346,-137859.50523829192,296.8251790562771,118.32196168508712,129
46000,-167782.13656254427,29948.391762963845,-137833.74479958043,299.0915335519615,118.19153332510251,129
48000,-167041.98198741872,29660.492966419784,-137381.48902099894,296.216317638945,118.28001466641645,129
50000,-167463.05671344034,30036.754341027234,-137426.3023724131,299.9740016053635,119.36246665329587,129
52000,-167369.9264851386,29881.132315693656,-137488.79416944494,298.4198203130965,119.44843707609871,129
54000,-168014.12367553392,29935.965573248803,-138078.15810228512,298.96743446285194,118.80811594013834,129
56000,-168261.8099007425,30045.61688210466,-138216.19301863783,300.06251089905095,117.43282762672861,129
58000,-167628.33001650206,29980.737968025758,-137647.5920484763,299.41457180233317,118.22468747169574,129
60000,-167421.73708815058,29613.227163985837,-137808.50992416474,295.7442788915417,117.38813821579612,129
62000,-167689.39891075145,29978.72603538161,-137710.67287536984,299.39447883624996,118.56380795077521,129
64000,-167525.39518142003,30008.894201689865,-137516.50097973016,299.6957652357669,117.92663502948876,129
66000,-167549.03780600464,30498.585649094894,-137050.45215690974,304.5862637684051,118.51201188736661,129
68000,-167552.53885475371,30191.534333496355,-137361.00452125736,301.5197736013076,118.20510633147298,129
70000,-167024.20167146483,29832.043364159064,-137192.15830730577,297.9295739616014,118.07140575354494,129
72000,-167303.17033596372,29867.71575994324,-137435.45457602048,298.28583053941725,118.68464395620114,129
74000,-167865.4337929677,30204.79240323906,-137660.64138972864,301.65218059139465,118.53111785055603,129
76000,-167740.962201257,29907.3528454685,-137833.6093557885,298.681682069246,118.7711307677446,129
78000,-167855.2369822777,29857.656437336,-137997.5805449417,298.18536911067326,118.25822698830747,129
80000,-167630.06703712174,29732.07363752206,-137897.99339959968,296.9311864994203,118.58370073475868,128
82000,-167523.2690367744,29848.746212144615,-137674.5228246298,298.0963836006038,118.26997557352657,128
84000,-167893.84131412103,29758.58761327181,-138135.25370084922,297.1959788705872,119.44163844038712,128
86000,-168131.99167494068,29914.661115673196,-138217.3305592675,298.75466901827605,118.2424786017081,128
88000,-168171.67618994694,30136.292869372526,-138035.38332057442,300.9680827341911,117.7188537404211,128
90000,-167688.97620029526,30054.044685055327,-137634.93151523994,300.14667850741336,118.07407528465187,128
92000,-167701.28361109924,29548.057011968223,-138153.226599131,295.0934312312387,118.39002743059783,128
94000,-167722.29077039275,29681.267272328085,-138041.02349806466,296.42378851289936,118.02890270441377,128
96000,-168143.0802504483,29934.0535860284,-138209.02666441991,298.94833964152036,117.53004989730674,128
98000,-168121.56769213255,29657.202126759716,-138464.36556537283,296.1834523589528,118.53056311576387,128
100000,-168645.52787936595,29907.17326223827,-138738.35461712768,298.67988858984467,118.03362089074277,128
102000,-168199.9423170049,29302.945896460908,-138896.996420544,292.6455315240371,118.38303221273426,128
104000,-168580.5964878488,29920.87086431065,-138659.72562353814,298.8166851444724,118.19979196686278,128
106000,-167808.41091136367,29591.07216262305,-138217.3387487406,295.52301915292566,118.59417018188044,128
108000,-167683.86406501685,29839.304893758555,-137844.5591712583,298.0020941169752,118.32016960395487,128
110000,-168102.51693118468,29910.65978665091,-138191.85714453377,298.71470815349926,117.85591303674883,128
112000,-167892.90208655864,30174.30813429132,-137718.5939522673,301.34773730706235,118.7568725239012,128
114000,-168548.544976715,30074.445311056916,-138474.09966565808,300.3504174782579,117.85750125470264,128
116000,-168701.7310169594,29768.5537909416,-138933.1772260178,297.2955100703425,117.82162790707473,128
118000,-168813.2111167448,29960.083642565878,-138853.1274741789,299.20829916087814,117.66561386860353,128
120000,-168695.17260411498,30109.417773328954,-138585.75483078603,300.69968389148704,117.98686547758449,127
122000,-167555.62377566844,29449.020107322372,-138106.60366834607,294.10435976712756,118.57498979152363,127
124000,-167255.04834356066,30109.719667301513,-137145.32867625915,300.7026988757953,118.2988133793482,127
126000,-166868.46592989552,29733.655962226447,-137134.80996766908,296.9469890148327,117.9021785824065,127
128000,-167191.30244139,29629.396187439095,-137561.9062539509,295.9057572793946,118.46673546881138,127
130000,-167413.50067738688,29946.288071258925,-137467.21260612796,299.07052419749846,118.22812363121086,127
132000,-167465.3694561629,29569.143552008085,-137896.22590415482,295.3040203556145,118.5022900506781,127
134000,-167997.10718447994,30069.601180418627,-137927.50600406132,300.30203963971485,118.44203291118333,127
136000,-167794.41383991507,29969.628010930493,-137824.78582898458,299.3036177941307,118.26317110472354,127
138000,-167447.3225174232,30088.410969119286,-137358.9115483039,300.4898910807136,118.76661291579587,127
140000,-167709.15593279386,30624.29121905472,-137084.86471373914,305.8416724725815,117.7127284032698,127
142000,-167166.59926005825,30232.087159233633,-136934.51210082462,301.9247705352206,119.50507168779636,127
144000,-167275.81433040055,30056.48462302005,-137219.3297073805,300.1710459189731,118.15250088618492,127
146000,-167833.55056747957,30162.328852243954,-137671.22171523562,301.2281014392416,117.6979494833321,127
148000,-167892.87310742144,29741.238404542906,-138151.63470287854,297.0227140927751,118.08056446679336,127
150000,-168011.08327520383,30393.242822662112,-137617.8404525417,303.5342157066643,117.80031256021951,127
152000,-168139.00408418349,30054.594683837844,-138084.40940034564,300.1521712891499,117.35063789268119,127
154000,-167380.73583469167,29788.015256623738,-137592.72057806794,297.48986974287885,118.21077775342692,127
156000,-167661.31010417,30106.08316916437,-137555.22693500563,300.66638153985264,117.73031818351693,127
158000,-167623.40299216215,29899.36175886984,-137724.04123329232,298.6018759025424,118.72783200386618,127
160000,-168015.56092945777,30598.458137991023,-137417.10279146675,305.58368012718716,118.20140363605051,126
162000,-167939.31014580664,29688.33236598503,-138250.9777798216,296.49434688255303,118.70357619729161,126
164000,-167684.563636677,29521.235679005156,-138163.32795767183,294.82556931493525,118.21703219581299,126
166000,-168034.7726537065,29700.331551213283,-138334.4411024932,296.614181521411,117.28769920166668,126
168000,-168514.33458183985,29943.560033197267,-138570.77454864257,299.04327955965925,118.09391220661368,126
170000,-168212.26642282028,29540.193116936018,-138672.07330588426,295.0148953137346,117.85416177770885,126
172000,-167989.4188898923,29604.725481551373,-138384.6934083409,295.6593734563109,118.48358571875865,126
174000,-167632.06967343565,29793.842627028353,-137838.2270464073,297.54806709666957,118.59690756918104,126
176000,-167849.58398446685,30204.940446935594,-137644.64353753126,301.6536590886903,117.77370196095355,126
178000,-167459.94207483053,29860.237049622927,-137599.7050252076,298.21114142233887,117.43763104726486,126
180000,-167499.04553708388,29782.106975454837,-137716.93856162904,297.4308643415388,118.03948191398504,126
182000,-168349.5204635302,30087.606284015812,-138261.9141795144,300.4818547726698,118.37867806262639,126
184000,-167862.98686653713,29750.065209325403,-138112.92165721173,297.11086649173046,118.08141645106618,126
186000,-167590.0763009464,29767.93492482137,-137822.14137612504,297.28932951752927,118.97605856985619,126
188000,-168316.46731477045,29986.993063963368,-138329.47425080708,299.4770408073904,117.73734452802756,126
190000,-167508.9710375578,29797.973633933463,-137710.99740362435,297.5893230412338,118.13131096946496,126
192000,-168065.04788163677,29970.985860730172,-138094.0620209066,299.31717850156815,118.13631394038285,125
194000,-167739.14849048236,30108.648562029004,-137630.49992845336,300.69200185670036,118.2048608729341,125
196000,-167780.6708475611,29976.601170839567,-137804.06967672153,299.3732580308224,117.88535674730637,125
198000,-167679.09043081128,29773.73940324085,-137905.35102757043,297.34729825139954,118.17215247711773,125
200000,-167409.3986654249,29828.9834888943,-137580.4151765306,297.8990152994649,118.48761849268543,125
202000,-168126.2314006457,30234.6102654587,-137891.621135187,301.9499685397126,117.16647622204228,125
204000,-167401.0077575799,29739.447093801457,-137661.56066377845,297.00482445512876,117.68615310390229,125
206000,-167728.99478882807,29616.260458071716,-138112.73433075636,295.77457209015614,117.51600891740325,125
208000,-167415.39408871054,29780.739291901584,-137634.65479680896,297.41720542540753,117.70597906496627,125
210000,-167783.6189277697,30103.829292418202,-137679.7896353515,300.64387230270285,117.49079766314443,125
212000,-166738.28075313487,30073.496792130172,-136664.7839610047,300.3409447164933,118.70834486339045,125
214000,-167340.00852791022,30018.361549963243,-137321.64697794698,299.79031467722496,118.43761448894037,125
216000,-166919.7542333497,30003.893835654482,-136915.8603976952,299.6458270902504,118.09001802464587,125
218000,-167123.175999064,29873.808753909892,-137249.3672451541,298.3466806486262,118.28611425400044,125
220000,-167311.07579360122,29906.496582234395,-137404.57921136683,298.673130655673,118.508579307137,125
222000,-167494.16429048625,30043.476453317795,-137450.68783716846,300.04113465509806,119.03417311998037,125
224000,-168053.1900795236,30330.428975344636,-137722.76110417896,302.906900221039,117.50237848936034,125
226000,-167338.63753958885,30062.503690092126,-137276.13384949672,300.23115772782705,118.95009089469934,125
228000,-167527.53698099277,30307.140474320156,-137220.3965066726,302.67432033692813,118.28446706028875,125
230000,-167264.2699219155,30161.00152853038,-137103.2683933851,301.21484559271215,118.20300114830643,125
232000,-167182.78062235517,29981.00620438473,-137201.77441797045,299.4172506514879,118.28959869116869,124
234000,-167044.40878350905,30012.475284641143,-137031.9334988679,299.7315291459011,118.52737793061729,124
236000,-166847.3031590482,29876.937132213265,-136970.36602683493,298.3779234436214,118.59374060886542,124
238000,-166747.59266706882,30184.913554165512,-136562.6791129033,301.4536525535049,119.39254307170559,124
240000,-166780.68681159907,30151.916191393044,-136628.77062020602,301.1241112575014,118.64244634879837,124
242000,-167343.94541399658,30195.26701950142,-137148.67839449516,301.5570515556752,117.9141194791217,124
244000,-167345.5180691185,30069.629617911065,-137275.88845120743,300.30232364205096,118.25886245805087,124
246000,-167673.04555928044,30075.85235340125,-137597.1932058792,300.36446946662073,118.40479279392652,124
248000,-167295.65030306915,29856.546565359225,-137439.10373770993,298.17428493245734,118.80609314977454,124
250000,-168033.07444394333,29855.656501558144,-138177.4179423852,298.16539595606986,118.03363225835128,124
252000,-167812.06099758844,30108.301623094012,-137703.75937449443,300.6885370129473,118.37201695299979,124
254000,-167461.5336403551,29688.578342922032,-137772.95529743307,296.49680342913115,118.2211193611642,124
256000,-167808.81929860194,29902.241085508605,-137906.57821309334,298.6306314439685,118.11194607143885,124
258000,-167495.49554572068,29444.015161544783,-138051.4803841759,294.05437588419284,118.15875870112563,124
260000,-168185.3768580308,29951.258438157383,-138234.1184198734,299.12016274469465,118.09774455750323,124
262000,-167875.10913179617,29976.07389229932,-137899.03523949685,299.3679921538277,118.40977943998348,124
264000,-167791.82141581003,29796.034827801166,-137995.78658800886,297.56996038216494,118.95618419835499,124
266000,-167764.79191848647,29884.704866993823,-137880.08705149265,298.45549901850137,117.59976192053757,124
268000,-168144.5502303386,30206.833653987705,-137937.71657635088,301.6725663543969,118.84687684296061,124
270000,-167724.29840207763,29222.734230152448,-138501.5641719252,291.8444657948709,117.8270804875465,124
272000,-167364.8337953512,29909.86890157126,-137454.96489377995,298.7068096648856,118.71320795542799,124
274000,-167737.17465957534,29871.240353623638,-137865.9343059517,298.32103029696555,118.37902605387345,124
276000,-168327.67514359753,30068.386790741002,-138259.28835285653,300.28991165388226,118.93512677890513,124
278000,-168179.37942491577,30327.191476160777,-137852.187948755,302.8745676469416,117.85734719145596,123
280000,-167620.57142399636,30054.501534280833,-137566.06988971552,300.1512410140261,117.69206694341197,123
282000,-168116.0426105758,29937.55538477446,-138178.48722580133,298.9833117483847,117.82034502191638,123
284000,-167257.66475665208,30304.830689927185,-136952.8340667249,302.65125275581266,118.55524984071667,123
286000,-167537.1700669888,30176.7853519849,-137360.3847150039,301.3724770274713,118.5476557101128,123
288000,-166942.13677816314,29662.275799373514,-137279.86097878963,296.2341226097901,118.08020595594685,123
290000,-168109.61207297188,29686.023494477267,-138423.58857849461,296.4712884183291,116.9363162163206,123
292000,-167690.92357223155,29509.385309713165,-138181.53826251838,294.7072208856523,118.16895686937825,123
294000,-168404.34465790237,30432.769333326258,-137971.57532457612,303.9289629366348,118.15290064332835,123
296000,-167579.7198984651,30071.355524147424,-137508.36437431767,300.31956009157676,118.3397206448407,123
298000,-166840.45185334946,29973.971718098503,-136866.48013525095,299.34699795452343,119.17134279737162,123
300000,-167939.23697187123,30497.814373711357,-137441.42259815987,304.57856111982625,118.44923297938176,123
302000,-168035.76150228258,30159.447369935457,-137876.31413234712,301.1993243693617,118.42413754886603,123
304000,-167550.40083479555,29911.289122812217,-137639.11171198334,298.72099326954475,117.70999016358672,123
306000,-168178.75281013479,30102.843766411766,-138075.90904372302,300.63402995500843,117.63029939482801,123
308000,-167916.63330425206,29487.035879232222,-138429.59742501983,294.4840194032667,118.55182451448034,123
310000,-168117.945009331,29806.041180391796,-138311.9038289392,297.66989280475644,118.07276101681319,123
312000,-168605.5288615327,30052.67275214719,-138552.8561093855,300.1329771534084,117.34218096122278,123
314000,-168087.12578799773,30005.714929936337,-138081.4108580614,299.66401417307657,118.2874830456519,123
316000,-168369.38656010292,29780.31774677406,-138589.06881332886,297.4129954972201,117.50312171066493,123
318000,-168321.39511445013,29589.9090581738,-138731.48605627634,295.5114033474373,118.8277991264484,123
320000,-167846.1719224084,29612.145313492278,-138234.02660891612,295.73347456102016,118.11839726971303,123
322000,-168050.2345910297,30204.481921153492,-137845.7526698762,301.6490798384779,118.19149703367302,123
324000,-166709.5626227411,29506.482882247583,-137203.0797404935,294.6782346386252,118.76362705600856,123
326000,-167956.45543252875,29700.79326639604,-138255.6621661327,296.6187926238424,117.8553032386465,123
