#"Step","Potential Energy (kJ/mole)","Kinetic Energy (kJ/mole)","Total Energy (kJ/mole)","Temperature (K)","Box Volume (nm^3)","Speed (ns/day)"
2000,-193522.8791681988,14668.482976006315,-178854.39619219248,146.49264317425195,120.61877190056062,0
4000,-185149.7293094335,21443.035976429936,-163706.69333300355,214.1494129287965,119.95519159536359,133
6000,-179988.38634825672,24542.679546581872,-155445.70680167485,245.10523707450918,118.8156373753871,132
8000,-176656.6893061828,26425.48639123974,-150231.20291494305,263.9086369701676,116.97816197649323,132
10000,-173857.57961047662,27453.86535012815,-146403.71426034847,274.17895272938904,116.71736468904984,128
12000,-172032.98033538845,28350.119499073306,-143682.86083631514,283.12975148953535,117.13160129226993,129
14000,-170187.1563131588,28442.276355804643,-141744.87995735416,284.05011261694625,117.21690887749368,130
16000,-169964.25264742319,29312.3159366583,-140651.9367107649,292.73910915966655,117.3146243400306,130
18000,-168905.38427793537,28909.604730589723,-139995.77954734565,288.71727342454824,117.2963242573055,130
20000,-168510.00514826307,29187.244531867444,-139322.76061639562,291.4900337983426,118.26152060927089,129
22000,-168326.30756150093,29192.324268704047,-139133.98329279688,291.5407646119544,118.58953850857178,129
24000,-167893.27826048725,29494.397927285172,-138398.88033320208,294.55754342618144,118.448673236047,129
26000,-168333.32303123933,30143.55601372267,-138189.76701751666,301.04061901591496,117.67817443707723,130
28000,-167895.11448926444,29864.651181753434,-138030.463307511,298.25522490964806,117.42018120686218,130
30000,-168240.16257192288,30273.096760025714,-137967.06581189716,302.3343292350111,118.02702855916789,129
32000,-167844.97860403953,29471.593090948532,-138373.385513091,294.3297938519702,118.70680895967412,129
34000,-168265.89345870947,30014.089492381318,-138251.80396632815,299.7476500739396,118.19705668789257,129
36000,-167814.55465314328,29916.941506660427,-137897.61314648285,298.77744305044666,118.14427792639734,129
38000,-167735.74897573912,29825.0336496082,-137910.7153261309,297.8595686574311,118.21497125969161,129
40000,-167710.0345792413,29986.996128608123,-137723.03845063318,299.47707141368494,117.97425611214523,129
42000,-168016.6560872004,29477.406443165848,-138539.24964403454,294.3878512075543,118.35791529341495,129
44000,-167906.48290955066,29542.871726056677,-138363.61118349398,295.04164630978227,118.69130599000287,129
46000,-167407.59609931032,29579.99917497361,-137827.5969243367,295.4124343548075,119.05862365568872,129
48000,-167721.5650440401,29887.15749874455,-137834.40754529554,298.4799932016071,117.34263696840083,129
50000,-167641.52321781672,29923.21049053548,-137718.31272728124,298.8400507529184,118.06312672428723,128
52000,-167994.58200822596,29927.76867069537,-138066.8133375306,298.88557283320296,119.32854793981647,129
54000,-168064.06793306535,29634.87089770753,-138429.19703535782,295.96043265237955,118.66165278823351,129
56000,-168393.2437531388,29534.186302205664,-138859.05745093315,294.9549058677676,118.05021948292199,129
58000,-168812.03436316177,29377.177474226337,-139434.85688893544,293.38687471894286,117.25534625504874,129
60000,-168218.19378497044,29349.82014727115,-138868.3736376993,293.11365988531605,117.72376898522707,128
62000,-167709.26277970942,29820.709768833825,-137888.5530108756,297.81638650120914,118.20281865630854,128
64000,-167780.273773656,29606.475376855582,-138173.7983968004,295.6768494822101,117.88512051121388,128
66000,-167944.96457792248,29874.63142799586,-138070.33314992662,298.35489661080317,118.42602463888903,128
68000,-167885.9354343533,29937.85107084154,-137948.08436351176,298.9862647349742,118.051007380233,128
70000,-167308.8598644142,29468.547453803243,-137840.31241061096,294.2993773844804,118.56587677003463,128
72000,-167150.17498727224,29397.59377934877,-137752.58120792347,293.5907702755679,118.81957649734873,128
74000,-167800.2980221738,29641.055751966545,-138159.24227020727,296.0222001609578,118.27791707341551,128
76000,-168127.12664995936,29967.54653748765,-138159.5801124717,299.28283033118464,117.66357087101596,128
78000,-167600.25027221697,29682.679792384617,-137917.57047983236,296.43789520661517,118.11473712944247,128
80000,-167938.15925543022,30147.497244666214,-137790.662010764,301.07997968730984,117.7803928453204,128
82000,-167969.69524566806,30183.665863309172,-137786.0293823589,301.4411919921975,117.58928611340174,128
84000,-168002.51426288066,30591.058604590304,-137411.45565829036,305.50978174192807,118.98460644429639,128
86000,-167386.1338865133,30108.816559564788,-137277.3173269485,300.6936796309531,117.64686197407624,128
88000,-167304.66556481004,29630.47368859616,-137674.19187621388,295.91651817353613,118.22632395170287,128
90000,-167877.97536181007,30082.279920428526,-137795.69544138154,300.4286609228569,118.44946393579137,128
92000,-167942.827655843,29485.842932635453,-138456.98472320754,294.4721055672952,117.52161858100702,128
94000,-167877.02747486765,29771.307616022765,-138105.71985884488,297.3230122405151,117.6705586372096,127
