,YearStart,YearEnd,LocationAbbr,LocationDesc,DataSource,Topic,Question,Response,DataValueUnit,DataValueType,DataValue,DataValueAlt,DataValueFootnoteSymbol,DatavalueFootnote,LowConfidenceLimit,HighConfidenceLimit,StratificationCategory1,Stratification1,StratificationCategory2,Stratification2,StratificationCategory3,Stratification3,GeoLocation,ResponseID,LocationID,TopicID,QuestionID,DataValueTypeID,StratificationCategoryID1,StratificationID1,StratificationCategoryID2,StratificationID2,StratificationCategoryID3,StratificationID3
36455,2016,2016,ID,Idaho,BRFSS,Immunization,Influenza vaccination among noninstitutionalized adults aged >= 18 years,,%,Crude Prevalence,34.1,34.1,,,32.2,36.0,Overall,Overall,,,,,"(43.682630005000476, -114.3637300419997)",,16,IMM,IMM1_0,CRDPREV,OVERALL,OVR,,,,
36533,2016,2016,IL,Illinois,BRFSS,Immunization,Influenza vaccination among noninstitutionalized adults aged >= 18 years,,%,Crude Prevalence,36.5,36.5,,,34.8,38.2,Overall,Overall,,,,,"(40.48501028300046, -88.99771017799969)",,17,IMM,IMM1_0,CRDPREV,OVERALL,OVR,,,,
36607,2016,2016,IN,Indiana,BRFSS,Immunization,Influenza vaccination among noninstitutionalized adults aged >= 18 years,,%,Crude Prevalence,37.7,37.7,,,36.4,39.0,Overall,Overall,,,,,"(39.766910452000445, -86.14996019399968)",,18,IMM,IMM1_0,CRDPREV,OVERALL,OVR,,,,
36697,2016,2016,IA,Iowa,BRFSS,Immunization,Influenza vaccination among noninstitutionalized adults aged >= 18 years,,%,Crude Prevalence,46.6,46.6,,,45.1,48.1,Overall,Overall,,,,,"(42.46940091300047, -93.81649055599968)",,19,IMM,IMM1_0,CRDPREV,OVERALL,OVR,,,,
36716,2016,2016,KS,Kansas,BRFSS,Immunization,Influenza vaccination among noninstitutionalized adults aged >= 18 years,,%,Crude Prevalence,37.7,37.7,,,36.6,38.9,Overall,Overall,,,,,"(38.34774030000045, -98.20078122699965)",,20,IMM,IMM1_0,CRDPREV,OVERALL,OVR,,,,
36835,2016,2016,GA,Georgia,BRFSS,Immunization,Influenza vaccination among noninstitutionalized adults aged >= 18 years,,%,Crude Prevalence,35.3,35.3,,,33.6,37.0,Overall,Overall,,,,,"(32.83968109300048, -83.62758034599966)",,13,IMM,IMM1_0,CRDPREV,OVERALL,OVR,,,,
36899,2016,2016,HI,Hawaii,BRFSS,Immunization,Influenza vaccination among noninstitutionalized adults aged >= 18 years,,%,Crude Prevalence,39.5,39.5,,,37.9,41.0,Overall,Overall,,,,,"(21.304850435000446, -157.85774940299973)",,15,IMM,IMM1_0,CRDPREV,OVERALL,OVR,,,,
36924,2016,2016,US,United States,BRFSS,Immunization,Influenza vaccination among noninstitutionalized adults aged >= 18 years,,%,Crude Prevalence,39.4,39.4,*,50 States + DC: US Median,37.4,41.6,Overall,Overall,,,,,,,59,IMM,IMM1_0,CRDPREV,OVERALL,OVR,,,,
36925,2016,2016,AL,Alabama,BRFSS,Immunization,Influenza vaccination among noninstitutionalized adults aged >= 18 years,,%,Crude Prevalence,36.8,36.8,,,35.3,38.3,Overall,Overall,,,,,"(32.84057112200048, -86.63186076199969)",,1,IMM,IMM1_0,CRDPREV,OVERALL,OVR,,,,
36926,2016,2016,AK,Alaska,BRFSS,Immunization,Influenza vaccination among noninstitutionalized adults aged >= 18 years,,%,Crude Prevalence,34.2,34.2,,,31.2,37.2,Overall,Overall,,,,,"(64.84507995700051, -147.72205903599973)",,2,IMM,IMM1_0,CRDPREV,OVERALL,OVR,,,,
