,YearStart,YearEnd,LocationAbbr,LocationDesc,DataSource,Topic,Question,Response,DataValueUnit,DataValueType,DataValue,DataValueAlt,DataValueFootnoteSymbol,DatavalueFootnote,LowConfidenceLimit,HighConfidenceLimit,StratificationCategory1,Stratification1,StratificationCategory2,Stratification2,StratificationCategory3,Stratification3,GeoLocation,ResponseID,LocationID,TopicID,QuestionID,DataValueTypeID,StratificationCategoryID1,StratificationID1,StratificationCategoryID2,StratificationID2,StratificationCategoryID3,StratificationID3
16060,2016,2016,UT,Utah,BRFSS,Mental Health,Recent mentally unhealthy days among adults aged >= 18 years,,Number,Mean,2.9,2.9,,,2.7,3.2,Gender,Male,,,,,"(39.360700171000474, -111.58713063499971)",,49,MTH,MTH1_0,MEAN,GENDER,GENM,,,,
16142,2016,2016,VT,Vermont,BRFSS,Mental Health,Recent mentally unhealthy days among adults aged >= 18 years,,Number,Mean,3.5,3.5,,,3.1,3.9,Gender,Male,,,,,"(43.62538123900049, -72.51764079099962)",,50,MTH,MTH1_0,MEAN,GENDER,GENM,,,,
16437,2016,2016,VA,Virginia,BRFSS,Mental Health,Recent mentally unhealthy days among adults aged >= 18 years,,Number,Mean,2.7,2.7,,,2.4,3.0,Gender,Male,,,,,"(37.54268067400045, -78.45789046299967)",,51,MTH,MTH1_0,MEAN,GENDER,GENM,,,,
17827,2016,2016,PR,Puerto Rico,BRFSS,Mental Health,Recent mentally unhealthy days among adults aged >= 18 years,,Number,Mean,3.8,3.8,,,3.5,4.1,Overall,Overall,,,,,"(18.220833, -66.590149)",,72,MTH,MTH1_0,MEAN,OVERALL,OVR,,,,
17919,2016,2016,IL,Illinois,BRFSS,Mental Health,Recent mentally unhealthy days among adults aged >= 18 years,,Number,Mean,3.0,3.0,,,2.6,3.4,Gender,Male,,,,,"(40.48501028300046, -88.99771017799969)",,17,MTH,MTH1_0,MEAN,GENDER,GENM,,,,
17954,2016,2016,IN,Indiana,BRFSS,Mental Health,Recent mentally unhealthy days among adults aged >= 18 years,,Number,Mean,3.6,3.6,,,3.2,3.9,Gender,Male,,,,,"(39.766910452000445, -86.14996019399968)",,18,MTH,MTH1_0,MEAN,GENDER,GENM,,,,
18092,2016,2016,IA,Iowa,BRFSS,Mental Health,Recent mentally unhealthy days among adults aged >= 18 years,,Number,Mean,2.6,2.6,,,2.3,2.9,Gender,Male,,,,,"(42.46940091300047, -93.81649055599968)",,19,MTH,MTH1_0,MEAN,GENDER,GENM,,,,
18800,2016,2016,KS,Kansas,BRFSS,Mental Health,Recent mentally unhealthy days among adults aged >= 18 years,,Number,Mean,2.6,2.6,,,2.3,2.8,Gender,Male,,,,,"(38.34774030000045, -98.20078122699965)",,20,MTH,MTH1_0,MEAN,GENDER,GENM,,,,
37588,2016,2016,LA,Louisiana,BRFSS,Mental Health,Recent mentally unhealthy days among adults aged >= 18 years,,Number,Mean,3.5,3.5,,,3.0,3.9,Gender,Male,,,,,"(31.31266064400046, -92.44568007099969)",,22,MTH,MTH1_0,MEAN,GENDER,GENM,,,,
37713,2016,2016,GU,Guam,BRFSS,Mental Health,Recent mentally unhealthy days among adults aged >= 18 years,,Number,Mean,3.8,3.8,,,3.1,4.5,Overall,Overall,,,,,"(13.444304, 144.793731)",,66,MTH,MTH1_0,MEAN,OVERALL,OVR,,,,
37776,2016,2016,ME,Maine,BRFSS,Mental Health,Recent mentally unhealthy days among adults aged >= 18 years,,Number,Mean,3.7,3.7,,,3.3,4.1,Gender,Male,,,,,"(45.254228894000505, -68.98503133599962)",,23,MTH,MTH1_0,MEAN,GENDER,GENM,,,,
37793,2016,2016,US,United States,BRFSS,Mental Health,Recent mentally unhealthy days among adults aged >= 18 years,,Number,Mean,3.7,3.7,*,50 States + DC: US Median,3.6,4.0,Overall,Overall,,,,,,,59,MTH,MTH1_0,MEAN,OVERALL,OVR,,,,
37794,2016,2016,AL,Alabama,BRFSS,Mental Health,Recent mentally unhealthy days among adults aged >= 18 years,,Number,Mean,4.5,4.5,,,4.2,4.8,Overall,Overall,,,,,"(32.84057112200048, -86.63186076199969)",,1,MTH,MTH1_0,MEAN,OVERALL,OVR,,,,
37795,2016,2016,AK,Alaska,BRFSS,Mental Health,Recent mentally unhealthy days among adults aged >= 18 years,,Number,Mean,3.5,3.5,,,3.0,4.0,Overall,Overall,,,,,"(64.84507995700051, -147.72205903599973)",,2,MTH,MTH1_0,MEAN,OVERALL,OVR,,,,
37796,2016,2016,AZ,Arizona,BRFSS,Mental Health,Recent mentally unhealthy days among adults aged >= 18 years,,Number,Mean,3.8,3.8,,,3.5,4.1,Overall,Overall,,,,,"(34.865970280000454, -111.76381127699972)",,4,MTH,MTH1_0,MEAN,OVERALL,OVR,,,,
37797,2016,2016,AR,Arkansas,BRFSS,Mental Health,Recent mentally unhealthy days among adults aged >= 18 years,,Number,Mean,5.0,5.0,,,4.5,5.5,Overall,Overall,,,,,"(34.74865012400045, -92.27449074299966)",,5,MTH,MTH1_0,MEAN,OVERALL,OVR,,,,
37798,2016,2016,CA,California,BRFSS,Mental Health,Recent mentally unhealthy days among adults aged >= 18 years,,Number,Mean,3.5,3.5,,,3.4,3.7,Overall,Overall,,,,,"(37.63864012300047, -120.99999953799971)",,6,MTH,MTH1_0,MEAN,OVERALL,OVR,,,,
37799,2016,2016,CO,Colorado,BRFSS,Mental Health,Recent mentally unhealthy days among adults aged >= 18 years,,Number,Mean,3.6,3.6,,,3.4,3.8,Overall,Overall,,,,,"(38.843840757000464, -106.13361092099967)",,8,MTH,MTH1_0,MEAN,OVERALL,OVR,,,,
37800,2016,2016,CT,Connecticut,BRFSS,Mental Health,Recent mentally unhealthy days among adults aged >= 18 years,,Number,Mean,3.7,3.7,,,3.4,3.9,Overall,Overall,,,,,"(41.56266102000046, -72.64984095199964)",,9,MTH,MTH1_0,MEAN,OVERALL,OVR,,,,
37801,2016,2016,DE,Delaware,BRFSS,Mental Health,Recent mentally unhealthy days among adults aged >= 18 years,,Number,Mean,3.6,3.6,,,3.2,3.9,Overall,Overall,,,,,"(39.008830667000495, -75.57774116799965)",,10,MTH,MTH1_0,MEAN,OVERALL,OVR,,,,
37802,2016,2016,DC,District of Columbia,BRFSS,Mental Health,Recent mentally unhealthy days among adults aged >= 18 years,,Number,Mean,3.4,3.4,,,3.1,3.7,Overall,Overall,,,,,"(38.907192, -77.036871)",,11,MTH,MTH1_0,MEAN,OVERALL,OVR,,,,
