,YearStart,YearEnd,LocationAbbr,LocationDesc,DataSource,Topic,Question,Response,DataValueUnit,DataValueType,DataValue,DataValueAlt,DataValueFootnoteSymbol,DatavalueFootnote,LowConfidenceLimit,HighConfidenceLimit,StratificationCategory1,Stratification1,StratificationCategory2,Stratification2,StratificationCategory3,Stratification3,GeoLocation,ResponseID,LocationID,TopicID,QuestionID,DataValueTypeID,StratificationCategoryID1,StratificationID1,StratificationCategoryID2,StratificationID2,StratificationCategoryID3,StratificationID3
17109,2016,2016,MI,Michigan,BRFSS,Oral Health,All teeth lost among adults aged >= 65 years,,%,Crude Prevalence,13.3,13.3,,,11.9,14.9,Overall,Overall,,,,,"(44.6613195430005, -84.71439026999968)",,26,ORH,ORH4_1,CRDPREV,OVERALL,OVR,,,,
18943,2016,2016,LA,Louisiana,BRFSS,Oral Health,All teeth lost among adults aged >= 65 years,,%,Crude Prevalence,20.5,20.5,,,17.9,23.5,Overall,Overall,,,,,"(31.31266064400046, -92.44568007099969)",,22,ORH,ORH4_1,CRDPREV,OVERALL,OVR,,,,
19186,2016,2016,ME,Maine,BRFSS,Oral Health,All teeth lost among adults aged >= 65 years,,%,Crude Prevalence,15.2,15.2,,,13.7,16.8,Overall,Overall,,,,,"(45.254228894000505, -68.98503133599962)",,23,ORH,ORH4_1,CRDPREV,OVERALL,OVR,,,,
19450,2016,2016,MD,Maryland,BRFSS,Oral Health,All teeth lost among adults aged >= 65 years,,%,Crude Prevalence,11.3,11.3,,,10.1,12.6,Overall,Overall,,,,,"(39.29058096400047, -76.60926011099963)",,24,ORH,ORH4_1,CRDPREV,OVERALL,OVR,,,,
19543,2016,2016,VA,Virginia,BRFSS,Oral Health,All teeth lost among adults aged >= 65 years,,%,Crude Prevalence,14.9,14.9,,,13.2,16.8,Overall,Overall,,,,,"(37.54268067400045, -78.45789046299967)",,51,ORH,ORH4_1,CRDPREV,OVERALL,OVR,,,,
19759,2016,2016,WA,Washington,BRFSS,Oral Health,All teeth lost among adults aged >= 65 years,,%,Crude Prevalence,11.0,11.0,,,9.9,12.2,Overall,Overall,,,,,"(47.52227862900048, -120.47001078999972)",,53,ORH,ORH4_1,CRDPREV,OVERALL,OVR,,,,
20099,2016,2016,GA,Georgia,BRFSS,Oral Health,All teeth lost among adults aged >= 65 years,,%,Crude Prevalence,18.6,18.6,,,15.0,22.8,Gender,Male,,,,,"(32.83968109300048, -83.62758034599966)",,13,ORH,ORH4_1,CRDPREV,GENDER,GENM,,,,
20679,2016,2016,HI,Hawaii,BRFSS,Oral Health,All teeth lost among adults aged >= 65 years,,%,Crude Prevalence,7.0,7.0,,,5.1,9.7,Gender,Male,,,,,"(21.304850435000446, -157.85774940299973)",,15,ORH,ORH4_1,CRDPREV,GENDER,GENM,,,,
20750,2016,2016,ID,Idaho,BRFSS,Oral Health,All teeth lost among adults aged >= 65 years,,%,Crude Prevalence,14.1,14.1,,,11.1,17.8,Gender,Male,,,,,"(43.682630005000476, -114.3637300419997)",,16,ORH,ORH4_1,CRDPREV,GENDER,GENM,,,,
20768,2016,2016,IL,Illinois,BRFSS,Oral Health,All teeth lost among adults aged >= 65 years,,%,Crude Prevalence,12.2,12.2,,,9.3,15.9,Gender,Male,,,,,"(40.48501028300046, -88.99771017799969)",,17,ORH,ORH4_1,CRDPREV,GENDER,GENM,,,,
20820,2016,2016,IN,Indiana,BRFSS,Oral Health,All teeth lost among adults aged >= 65 years,,%,Crude Prevalence,19.3,19.3,,,16.7,22.1,Gender,Male,,,,,"(39.766910452000445, -86.14996019399968)",,18,ORH,ORH4_1,CRDPREV,GENDER,GENM,,,,
21302,2016,2016,IA,Iowa,BRFSS,Oral Health,All teeth lost among adults aged >= 65 years,,%,Crude Prevalence,13.4,13.4,,,10.8,16.4,Gender,Male,,,,,"(42.46940091300047, -93.81649055599968)",,19,ORH,ORH4_1,CRDPREV,GENDER,GENM,,,,
21392,2016,2016,KS,Kansas,BRFSS,Oral Health,All teeth lost among adults aged >= 65 years,,%,Crude Prevalence,14.9,14.9,,,12.9,17.2,Gender,Male,,,,,"(38.34774030000045, -98.20078122699965)",,20,ORH,ORH4_1,CRDPREV,GENDER,GENM,,,,
21498,2016,2016,KY,Kentucky,BRFSS,Oral Health,All teeth lost among adults aged >= 65 years,,%,Crude Prevalence,23.9,23.9,,,20.3,27.9,Gender,Male,,,,,"(37.645970271000465, -84.77497104799966)",,21,ORH,ORH4_1,CRDPREV,GENDER,GENM,,,,
21551,2016,2016,LA,Louisiana,BRFSS,Oral Health,All teeth lost among adults aged >= 65 years,,%,Crude Prevalence,22.4,22.4,,,17.9,27.8,Gender,Male,,,,,"(31.31266064400046, -92.44568007099969)",,22,ORH,ORH4_1,CRDPREV,GENDER,GENM,,,,
21569,2016,2016,ME,Maine,BRFSS,Oral Health,All teeth lost among adults aged >= 65 years,,%,Crude Prevalence,15.7,15.7,,,13.4,18.4,Gender,Male,,,,,"(45.254228894000505, -68.98503133599962)",,23,ORH,ORH4_1,CRDPREV,GENDER,GENM,,,,
21708,2016,2016,MD,Maryland,BRFSS,Oral Health,All teeth lost among adults aged >= 65 years,,%,Crude Prevalence,10.0,10.0,,,8.3,12.1,Gender,Male,,,,,"(39.29058096400047, -76.60926011099963)",,24,ORH,ORH4_1,CRDPREV,GENDER,GENM,,,,
21903,2016,2016,MA,Massachusetts,BRFSS,Oral Health,All teeth lost among adults aged >= 65 years,,%,Crude Prevalence,17.5,17.5,,,13.9,21.9,Gender,Male,,,,,"(42.27687047000046, -72.08269067499964)",,25,ORH,ORH4_1,CRDPREV,GENDER,GENM,,,,
22635,2016,2016,MI,Michigan,BRFSS,Oral Health,All teeth lost among adults aged >= 65 years,,%,Crude Prevalence,14.3,14.3,,,12.1,16.8,Gender,Male,,,,,"(44.6613195430005, -84.71439026999968)",,26,ORH,ORH4_1,CRDPREV,GENDER,GENM,,,,
22898,2016,2016,MN,Minnesota,BRFSS,Oral Health,All teeth lost among adults aged >= 65 years,,%,Crude Prevalence,9.9,9.9,,,8.4,11.6,Gender,Male,,,,,"(46.35564873600049, -94.79420050299967)",,27,ORH,ORH4_1,CRDPREV,GENDER,GENM,,,,
22991,2016,2016,MS,Mississippi,BRFSS,Oral Health,All teeth lost among adults aged >= 65 years,,%,Crude Prevalence,25.6,25.6,,,21.1,30.6,Gender,Male,,,,,"(32.745510099000455, -89.53803082499968)",,28,ORH,ORH4_1,CRDPREV,GENDER,GENM,,,,
23010,2016,2016,MO,Missouri,BRFSS,Oral Health,All teeth lost among adults aged >= 65 years,,%,Crude Prevalence,18.2,18.2,,,15.1,21.7,Gender,Male,,,,,"(38.635790776000476, -92.56630005299968)",,29,ORH,ORH4_1,CRDPREV,GENDER,GENM,,,,
23100,2016,2016,MT,Montana,BRFSS,Oral Health,All teeth lost among adults aged >= 65 years,,%,Crude Prevalence,12.4,12.4,,,9.8,15.6,Gender,Male,,,,,"(47.06652897200047, -109.42442064499971)",,30,ORH,ORH4_1,CRDPREV,GENDER,GENM,,,,
23307,2016,2016,NE,Nebraska,BRFSS,Oral Health,All teeth lost among adults aged >= 65 years,,%,Crude Prevalence,10.6,10.6,,,9.0,12.5,Gender,Male,,,,,"(41.6410409880005, -99.36572062299967)",,31,ORH,ORH4_1,CRDPREV,GENDER,GENM,,,,
23442,2016,2016,NV,Nevada,BRFSS,Oral Health,All teeth lost among adults aged >= 65 years,,%,Crude Prevalence,12.4,12.4,,,8.7,17.2,Gender,Male,,,,,"(39.493240390000494, -117.07184056399967)",,32,ORH,ORH4_1,CRDPREV,GENDER,GENM,,,,
23515,2016,2016,NH,New Hampshire,BRFSS,Oral Health,All teeth lost among adults aged >= 65 years,,%,Crude Prevalence,12.8,12.8,,,10.4,15.6,Gender,Male,,,,,"(43.65595011300047, -71.50036091999965)",,33,ORH,ORH4_1,CRDPREV,GENDER,GENM,,,,
23824,2016,2016,NJ,New Jersey,BRFSS,Oral Health,All teeth lost among adults aged >= 65 years,,%,Crude Prevalence,11.9,11.9,,,8.7,16.2,Gender,Male,,,,,"(40.13057004800049, -74.27369128799967)",,34,ORH,ORH4_1,CRDPREV,GENDER,GENM,,,,
24119,2016,2016,NM,New Mexico,BRFSS,Oral Health,All teeth lost among adults aged >= 65 years,,%,Crude Prevalence,14.5,14.5,,,11.6,18.0,Gender,Male,,,,,"(34.52088095200048, -106.24058098499967)",,35,ORH,ORH4_1,CRDPREV,GENDER,GENM,,,,
24860,2016,2016,NY,New York,BRFSS,Oral Health,All teeth lost among adults aged >= 65 years,,%,Crude Prevalence,11.2,11.2,,,9.2,13.6,Gender,Male,,,,,"(42.82700103200045, -75.54397042699964)",,36,ORH,ORH4_1,CRDPREV,GENDER,GENM,,,,
