,YearStart,YearEnd,LocationAbbr,LocationDesc,DataSource,Topic,Question,Response,DataValueUnit,DataValueType,DataValue,DataValueAlt,DataValueFootnoteSymbol,DatavalueFootnote,LowConfidenceLimit,HighConfidenceLimit,StratificationCategory1,Stratification1,StratificationCategory2,Stratification2,StratificationCategory3,Stratification3,GeoLocation,ResponseID,LocationID,TopicID,QuestionID,DataValueTypeID,StratificationCategoryID1,StratificationID1,StratificationCategoryID2,StratificationID2,StratificationCategoryID3,StratificationID3
53709,2016,2016,DE,Delaware,BRFSS,Reproductive Health,Timeliness of routine health care checkup among women aged 18-44 years,,%,Crude Prevalence,73.0,73.0,,,67.8,77.6,Overall,Overall,,,,,"(39.008830667000495, -75.57774116799965)",,10,RPH,RPH1_0,CRDPREV,OVERALL,OVR,,,,
53806,2016,2016,US,United States,BRFSS,Reproductive Health,Timeliness of routine health care checkup among women aged 18-44 years,,%,Crude Prevalence,66.7,66.7,*,50 States + DC: US Median,65.3,68.9,Overall,Overall,,,,,,,59,RPH,RPH1_0,CRDPREV,OVERALL,OVR,,,,
53807,2016,2016,AL,Alabama,BRFSS,Reproductive Health,Timeliness of routine health care checkup among women aged 18-44 years,,%,Crude Prevalence,65.4,65.4,,,61.9,68.8,Overall,Overall,,,,,"(32.84057112200048, -86.63186076199969)",,1,RPH,RPH1_0,CRDPREV,OVERALL,OVR,,,,
53808,2016,2016,AK,Alaska,BRFSS,Reproductive Health,Timeliness of routine health care checkup among women aged 18-44 years,,%,Crude Prevalence,56.1,56.1,,,49.1,62.9,Overall,Overall,,,,,"(64.84507995700051, -147.72205903599973)",,2,RPH,RPH1_0,CRDPREV,OVERALL,OVR,,,,
53809,2016,2016,AZ,Arizona,BRFSS,Reproductive Health,Timeliness of routine health care checkup among women aged 18-44 years,,%,Crude Prevalence,61.5,61.5,,,57.4,65.5,Overall,Overall,,,,,"(34.865970280000454, -111.76381127699972)",,4,RPH,RPH1_0,CRDPREV,OVERALL,OVR,,,,
53810,2016,2016,AR,Arkansas,BRFSS,Reproductive Health,Timeliness of routine health care checkup among women aged 18-44 years,,%,Crude Prevalence,61.8,61.8,,,55.5,67.8,Overall,Overall,,,,,"(34.74865012400045, -92.27449074299966)",,5,RPH,RPH1_0,CRDPREV,OVERALL,OVR,,,,
53811,2016,2016,CA,California,BRFSS,Reproductive Health,Timeliness of routine health care checkup among women aged 18-44 years,,%,Crude Prevalence,65.4,65.4,,,63.0,67.8,Overall,Overall,,,,,"(37.63864012300047, -120.99999953799971)",,6,RPH,RPH1_0,CRDPREV,OVERALL,OVR,,,,
53812,2016,2016,CO,Colorado,BRFSS,Reproductive Health,Timeliness of routine health care checkup among women aged 18-44 years,,%,Crude Prevalence,59.7,59.7,,,57.0,62.4,Overall,Overall,,,,,"(38.843840757000464, -106.13361092099967)",,8,RPH,RPH1_0,CRDPREV,OVERALL,OVR,,,,
53813,2016,2016,CT,Connecticut,BRFSS,Reproductive Health,Timeliness of routine health care checkup among women aged 18-44 years,,%,Crude Prevalence,71.2,71.2,,,67.8,74.4,Overall,Overall,,,,,"(41.56266102000046, -72.64984095199964)",,9,RPH,RPH1_0,CRDPREV,OVERALL,OVR,,,,
53814,2016,2016,DC,District of Columbia,BRFSS,Reproductive Health,Timeliness of routine health care checkup among women aged 18-44 years,,%,Crude Prevalence,80.2,80.2,,,76.1,83.8,Overall,Overall,,,,,"(38.907192, -77.036871)",,11,RPH,RPH1_0,CRDPREV,OVERALL,OVR,,,,
53815,2016,2016,FL,Florida,BRFSS,Reproductive Health,Timeliness of routine health care checkup among women aged 18-44 years,,%,Crude Prevalence,69.6,69.6,,,67.1,72.0,Overall,Overall,,,,,"(28.932040377000476, -81.92896053899966)",,12,RPH,RPH1_0,CRDPREV,OVERALL,OVR,,,,
53816,2016,2016,GA,Georgia,BRFSS,Reproductive Health,Timeliness of routine health care checkup among women aged 18-44 years,,%,Crude Prevalence,69.7,69.7,,,65.7,73.4,Overall,Overall,,,,,"(32.83968109300048, -83.62758034599966)",,13,RPH,RPH1_0,CRDPREV,OVERALL,OVR,,,,
53817,2016,2016,HI,Hawaii,BRFSS,Reproductive Health,Timeliness of routine health care checkup among women aged 18-44 years,,%,Crude Prevalence,66.7,66.7,,,63.0,70.1,Overall,Overall,,,,,"(21.304850435000446, -157.85774940299973)",,15,RPH,RPH1_0,CRDPREV,OVERALL,OVR,,,,
53818,2016,2016,ID,Idaho,BRFSS,Reproductive Health,Timeliness of routine health care checkup among women aged 18-44 years,,%,Crude Prevalence,55.4,55.4,,,50.7,60.0,Overall,Overall,,,,,"(43.682630005000476, -114.3637300419997)",,16,RPH,RPH1_0,CRDPREV,OVERALL,OVR,,,,
53819,2016,2016,IL,Illinois,BRFSS,Reproductive Health,Timeliness of routine health care checkup among women aged 18-44 years,,%,Crude Prevalence,69.2,69.2,,,65.3,72.8,Overall,Overall,,,,,"(40.48501028300046, -88.99771017799969)",,17,RPH,RPH1_0,CRDPREV,OVERALL,OVR,,,,
53820,2016,2016,IN,Indiana,BRFSS,Reproductive Health,Timeliness of routine health care checkup among women aged 18-44 years,,%,Crude Prevalence,64.2,64.2,,,60.7,67.5,Overall,Overall,,,,,"(39.766910452000445, -86.14996019399968)",,18,RPH,RPH1_0,CRDPREV,OVERALL,OVR,,,,
53821,2016,2016,IA,Iowa,BRFSS,Reproductive Health,Timeliness of routine health care checkup among women aged 18-44 years,,%,Crude Prevalence,67.2,67.2,,,63.5,70.7,Overall,Overall,,,,,"(42.46940091300047, -93.81649055599968)",,19,RPH,RPH1_0,CRDPREV,OVERALL,OVR,,,,
53822,2016,2016,KS,Kansas,BRFSS,Reproductive Health,Timeliness of routine health care checkup among women aged 18-44 years,,%,Crude Prevalence,61.0,61.0,,,58.1,63.7,Overall,Overall,,,,,"(38.34774030000045, -98.20078122699965)",,20,RPH,RPH1_0,CRDPREV,OVERALL,OVR,,,,
53823,2016,2016,KY,Kentucky,BRFSS,Reproductive Health,Timeliness of routine health care checkup among women aged 18-44 years,,%,Crude Prevalence,74.1,74.1,,,71.0,77.0,Overall,Overall,,,,,"(37.645970271000465, -84.77497104799966)",,21,RPH,RPH1_0,CRDPREV,OVERALL,OVR,,,,
53824,2016,2016,LA,Louisiana,BRFSS,Reproductive Health,Timeliness of routine health care checkup among women aged 18-44 years,,%,Crude Prevalence,68.4,68.4,,,63.4,73.1,Overall,Overall,,,,,"(31.31266064400046, -92.44568007099969)",,22,RPH,RPH1_0,CRDPREV,OVERALL,OVR,,,,
53825,2016,2016,ME,Maine,BRFSS,Reproductive Health,Timeliness of routine health care checkup among women aged 18-44 years,,%,Crude Prevalence,67.3,67.3,,,63.3,71.2,Overall,Overall,,,,,"(45.254228894000505, -68.98503133599962)",,23,RPH,RPH1_0,CRDPREV,OVERALL,OVR,,,,
53826,2016,2016,MD,Maryland,BRFSS,Reproductive Health,Timeliness of routine health care checkup among women aged 18-44 years,,%,Crude Prevalence,72.4,72.4,,,69.7,74.8,Overall,Overall,,,,,"(39.29058096400047, -76.60926011099963)",,24,RPH,RPH1_0,CRDPREV,OVERALL,OVR,,,,
53827,2016,2016,MA,Massachusetts,BRFSS,Reproductive Health,Timeliness of routine health care checkup among women aged 18-44 years,,%,Crude Prevalence,76.8,76.8,,,73.7,79.7,Overall,Overall,,,,,"(42.27687047000046, -72.08269067499964)",,25,RPH,RPH1_0,CRDPREV,OVERALL,OVR,,,,
53828,2016,2016,MI,Michigan,BRFSS,Reproductive Health,Timeliness of routine health care checkup among women aged 18-44 years,,%,Crude Prevalence,68.2,68.2,,,65.4,70.8,Overall,Overall,,,,,"(44.6613195430005, -84.71439026999968)",,26,RPH,RPH1_0,CRDPREV,OVERALL,OVR,,,,
53829,2016,2016,MN,Minnesota,BRFSS,Reproductive Health,Timeliness of routine health care checkup among women aged 18-44 years,,%,Crude Prevalence,70.6,70.6,,,68.4,72.6,Overall,Overall,,,,,"(46.35564873600049, -94.79420050299967)",,27,RPH,RPH1_0,CRDPREV,OVERALL,OVR,,,,
53830,2016,2016,MS,Mississippi,BRFSS,Reproductive Health,Timeliness of routine health care checkup among women aged 18-44 years,,%,Crude Prevalence,70.9,70.9,,,66.7,74.7,Overall,Overall,,,,,"(32.745510099000455, -89.53803082499968)",,28,RPH,RPH1_0,CRDPREV,OVERALL,OVR,,,,
53831,2016,2016,MO,Missouri,BRFSS,Reproductive Health,Timeliness of routine health care checkup among women aged 18-44 years,,%,Crude Prevalence,62.2,62.2,,,57.5,66.8,Overall,Overall,,,,,"(38.635790776000476, -92.56630005299968)",,29,RPH,RPH1_0,CRDPREV,OVERALL,OVR,,,,
53832,2016,2016,MT,Montana,BRFSS,Reproductive Health,Timeliness of routine health care checkup among women aged 18-44 years,,%,Crude Prevalence,61.6,61.6,,,56.6,66.3,Overall,Overall,,,,,"(47.06652897200047, -109.42442064499971)",,30,RPH,RPH1_0,CRDPREV,OVERALL,OVR,,,,
53833,2016,2016,NE,Nebraska,BRFSS,Reproductive Health,Timeliness of routine health care checkup among women aged 18-44 years,,%,Crude Prevalence,62.8,62.8,,,59.8,65.7,Overall,Overall,,,,,"(41.6410409880005, -99.36572062299967)",,31,RPH,RPH1_0,CRDPREV,OVERALL,OVR,,,,
53834,2016,2016,NV,Nevada,BRFSS,Reproductive Health,Timeliness of routine health care checkup among women aged 18-44 years,,%,Crude Prevalence,65.4,65.4,,,60.7,69.9,Overall,Overall,,,,,"(39.493240390000494, -117.07184056399967)",,32,RPH,RPH1_0,CRDPREV,OVERALL,OVR,,,,
53835,2016,2016,NH,New Hampshire,BRFSS,Reproductive Health,Timeliness of routine health care checkup among women aged 18-44 years,,%,Crude Prevalence,65.3,65.3,,,60.1,70.1,Overall,Overall,,,,,"(43.65595011300047, -71.50036091999965)",,33,RPH,RPH1_0,CRDPREV,OVERALL,OVR,,,,
53836,2016,2016,NJ,New Jersey,BRFSS,Reproductive Health,Timeliness of routine health care checkup among women aged 18-44 years,,%,Crude Prevalence,75.7,75.7,,,71.7,79.3,Overall,Overall,,,,,"(40.13057004800049, -74.27369128799967)",,34,RPH,RPH1_0,CRDPREV,OVERALL,OVR,,,,
53837,2016,2016,NM,New Mexico,BRFSS,Reproductive Health,Timeliness of routine health care checkup among women aged 18-44 years,,%,Crude Prevalence,60.6,60.6,,,55.9,65.1,Overall,Overall,,,,,"(34.52088095200048, -106.24058098499967)",,35,RPH,RPH1_0,CRDPREV,OVERALL,OVR,,,,
53838,2016,2016,NY,New York,BRFSS,Reproductive Health,Timeliness of routine health care checkup among women aged 18-44 years,,%,Crude Prevalence,73.3,73.3,,,71.2,75.4,Overall,Overall,,,,,"(42.82700103200045, -75.54397042699964)",,36,RPH,RPH1_0,CRDPREV,OVERALL,OVR,,,,
53839,2016,2016,NC,North Carolina,BRFSS,Reproductive Health,Timeliness of routine health care checkup among women aged 18-44 years,,%,Crude Prevalence,72.1,72.1,,,68.8,75.1,Overall,Overall,,,,,"(35.466220975000454, -79.15925046299964)",,37,RPH,RPH1_0,CRDPREV,OVERALL,OVR,,,,
53840,2016,2016,ND,North Dakota,BRFSS,Reproductive Health,Timeliness of routine health care checkup among women aged 18-44 years,,%,Crude Prevalence,60.4,60.4,,,55.9,64.8,Overall,Overall,,,,,"(47.47531977900047, -100.11842104899966)",,38,RPH,RPH1_0,CRDPREV,OVERALL,OVR,,,,
53841,2016,2016,OH,Ohio,BRFSS,Reproductive Health,Timeliness of routine health care checkup among women aged 18-44 years,,%,Crude Prevalence,72.0,72.0,,,68.8,75.0,Overall,Overall,,,,,"(40.06021014100048, -82.40426005599966)",,39,RPH,RPH1_0,CRDPREV,OVERALL,OVR,,,,
53842,2016,2016,OK,Oklahoma,BRFSS,Reproductive Health,Timeliness of routine health care checkup among women aged 18-44 years,,%,Crude Prevalence,66.8,66.8,,,63.1,70.3,Overall,Overall,,,,,"(35.47203135600046, -97.52107021399968)",,40,RPH,RPH1_0,CRDPREV,OVERALL,OVR,,,,
53843,2016,2016,OR,Oregon,BRFSS,Reproductive Health,Timeliness of routine health care checkup among women aged 18-44 years,,%,Crude Prevalence,59.2,59.2,,,55.4,62.9,Overall,Overall,,,,,"(44.56744942400047, -120.15503132599969)",,41,RPH,RPH1_0,CRDPREV,OVERALL,OVR,,,,
53844,2016,2016,PA,Pennsylvania,BRFSS,Reproductive Health,Timeliness of routine health care checkup among women aged 18-44 years,,%,Crude Prevalence,66.4,66.4,,,62.6,70.0,Overall,Overall,,,,,"(40.79373015200048, -77.86070029399963)",,42,RPH,RPH1_0,CRDPREV,OVERALL,OVR,,,,
53845,2016,2016,RI,Rhode Island,BRFSS,Reproductive Health,Timeliness of routine health care checkup among women aged 18-44 years,,%,Crude Prevalence,77.4,77.4,,,72.8,81.5,Overall,Overall,,,,,"(41.70828019300046, -71.52247031399963)",,44,RPH,RPH1_0,CRDPREV,OVERALL,OVR,,,,
