#"Step","Potential Energy (kJ/mole)","Kinetic Energy (kJ/mole)","Total Energy (kJ/mole)","Temperature (K)","Box Volume (nm^3)","Speed (ns/day)"
2000,-185885.46782979986,20251.56831585476,-165633.8995139451,202.2503469422318,118.79470706509896,0
4000,-180169.5232367923,24234.38315032993,-155935.14008646237,242.02631241393465,117.23037164250874,12.5
6000,-175965.08032329672,25951.24804641772,-150013.832276879,259.172466996681,116.42835597388641,12.4
8000,-172912.381087519,27442.921027594857,-145469.46005992414,274.0696528966608,116.97017223446676,12.4
10000,-170982.0268586597,28343.291641244083,-142638.7352174156,283.0615623698932,116.79683251070531,12.4
12000,-170169.78514891502,29127.39525093464,-141042.38989798038,290.8923251347906,117.1427692771807,12.4
14000,-169452.72885473503,29575.201570906007,-139877.52728382903,295.3645211723798,117.04727066367136,12.4
16000,-168451.11699098954,29552.29851204873,-138898.8184789408,295.1357906598744,117.88950221333366,12.4
18000,-168264.30237249145,29847.07791347592,-138417.22445901553,298.0797224719799,117.69018372318652,12.4
20000,-168301.40792438702,29950.57210347848,-138350.83582090854,299.1133083902683,117.5806338860131,12.4
22000,-167784.34211318486,29815.50476129842,-137968.83735188644,297.76440462190703,118.92823026134201,12.4
24000,-167748.0577467659,29953.595893057296,-137794.4618537086,299.1435066683403,117.90482907535588,12.4
26000,-167759.5412327944,29685.930705981795,-138073.6105268126,296.47036174909,117.59638377035235,12.4
28000,-167881.23761929048,29340.766416737344,-138540.47120255313,293.02324120203065,118.4812015332268,12.4
30000,-167726.10180269508,29774.20523769455,-137951.89656500053,297.3519504925697,118.34136154119787,12.4
32000,-167613.48575887247,30185.57999409747,-137427.905764775,301.460308221123,118.50630466268305,12.4
34000,-167822.7945410345,30019.868394763675,-137802.92614627082,299.8053633825362,117.22075581568615,12.4
36000,-168022.15954926994,30154.39094147063,-137867.7686077993,301.1488263340812,118.31051208376815,12.4
38000,-168047.7320799412,29725.50352452637,-138322.22855541483,296.8655714511384,117.29368301547782,12.4
40000,-168011.5922372596,30020.361704039387,-137991.23053322022,299.81029001195105,117.89555167104268,12.4
42000,-167588.95082825492,29432.03781571146,-138156.91301254346,293.9347593531442,118.28130871178199,12.4
44000,-168134.3065750813,29910.323422141606,-138223.9831529397,298.7113489154568,117.71007010230637,12.4
46000,-168025.4987542522,29660.956431590836,-138364.54232266138,296.22094621833094,117.75849675968887,12.4
48000,-167960.33844089264,29990.10618048483,-137970.23226040782,299.5081311845264,117.79048543065007,12.4
50000,-167993.59443765227,30234.372700879117,-137759.22173677315,301.94759600648985,117.58262101526977,12.4
52000,-168255.8825367461,30132.92269759043,-138122.95983915566,300.9344251723889,117.97534556553532,12.4
54000,-167879.60667084064,29865.04069582431,-138014.56597501633,298.25911494694026,118.41844586186434,12.4
56000,-167590.5217029804,30079.970071573858,-137510.55163140653,300.40559269796915,117.71576980372059,12.4
58000,-167170.61170997098,29862.280259911204,-137308.33145005978,298.2315467550635,117.40072658801354,12.4
60000,-167150.59373307554,29814.381681720144,-137336.2120513554,297.75318854072225,118.70752890101753,12.4
62000,-167604.88355811127,29542.56122700544,-138062.32233110582,295.03854538743104,118.20799482685851,12.4
64000,-168212.23846465664,29591.824276317842,-138620.4141883388,295.53053043567377,118.0071800303424,12.4
66000,-168406.5921037317,29528.479208662407,-138878.1128950693,294.89790970672203,117.0455891312293,12.4
68000,-168155.3393928695,29651.72661272809,-138503.6127801414,296.1287689588669,117.52078741077986,12.4
70000,-167780.2031311912,29606.132548249327,-138174.07058294187,295.67342568789087,118.12666333839076,12.4
72000,-167828.1515417248,29478.390977157775,-138349.76056456703,294.397683648101,117.02824520863996,12.4
74000,-167792.90410846623,29447.588699947577,-138345.31540851865,294.09006444769096,117.67211887798271,12.4
76000,-167339.5737018783,29525.267318973783,-137814.30638290453,294.86583289204117,118.37354216649618,12.4
78000,-167516.26086566667,29833.660560645047,-137682.60030502162,297.94572473793943,118.15626867433808,12.4
80000,-167744.0573887754,30150.943690480082,-137593.11369829532,301.11439899008684,118.03739564298913,12.4
82000,-167603.21093963552,29932.651308341185,-137670.55963129434,298.93433523730215,118.21828738418384,12.4
84000,-167281.52398425038,29639.53642407211,-137641.98756017827,296.00702678826013,118.35121557907738,12.4
86000,-167307.08773610287,29881.519644356682,-137425.5680917462,298.4236885249434,118.15687475599137,12.4
88000,-167240.24515878607,29962.990817715996,-137277.25434107007,299.23733282254636,118.56768148968139,12.4
90000,-167528.27773027576,30283.88931523019,-137244.38841504557,302.442113382908,119.10293894922503,12.4
92000,-167724.6515525782,30297.600924447877,-137427.05062813032,302.579049825467,117.7471287642251,12.4
94000,-167215.57331098267,29994.340194268385,-137221.23311671428,299.55041584827825,118.22057413194564,12.4
96000,-166913.68417862512,29882.638622804778,-137031.04555582034,298.4348636485594,118.5648407884174,12.4
98000,-167039.17152416718,30024.571277942276,-137014.6002462249,299.8523305971077,118.88878049488117,12.4
100000,-167548.5811588947,30095.555455624824,-137453.02570326987,300.56124233864745,117.6230599480113,12.4
102000,-167682.15375228145,29842.133516420727,-137840.02023586072,298.0303432829593,118.1395791900965,12.4
104000,-167663.97749774507,29957.114191234345,-137706.86330651073,299.1786435533389,118.20177229992684,12.4
106000,-167306.9597137341,29847.949122472666,-137459.01059126144,298.08842314735983,117.94348554192221,12.4
108000,-167509.2569389094,30283.15623433655,-137226.10070457286,302.43479217880355,117.87526332832337,12.4
110000,-167352.39324224705,29940.94642450614,-137411.4468177409,299.01717771627074,118.35114958598713,12.4
112000,-167985.20670771622,30416.819242572994,-137568.38746514323,303.76967100732367,118.30767059893782,12.4
114000,-167524.8358044841,30435.761782743735,-137089.07402174035,303.9588482237124,118.49870030819525,12.4
116000,-167418.9863796397,29952.24481636728,-137466.74156327243,299.13001360325813,117.90963940754416,12.4
118000,-167559.52589003113,29926.67574638687,-137632.85014364426,298.87465790962136,119.07163681321218,12.4
120000,-167821.10924716934,29997.827531621442,-137823.2817155479,299.58524353068583,118.83944938642092,12.4
122000,-167867.12409648462,29560.559821294155,-138306.56427519047,295.2182955125863,117.9967589304816,12.4
124000,-168519.92511748918,29903.75678743224,-138616.16833005694,298.6457686044657,117.89631697721894,12.4
126000,-167993.84976837272,29926.66063495376,-138067.18913341896,298.8745069932804,118.45072390026743,12.4
128000,-167766.75929855998,29886.38266715617,-137880.3766314038,298.4722550375731,118.35761598180615,12.4
130000,-167148.42867328855,29971.335342262173,-137177.09333102638,299.3206687379782,118.8336225115451,12.4
132000,-167459.68467034865,30230.98426722351,-137228.70040312514,301.9137560652197,118.20137815211693,12.4
134000,-167888.5347884614,30215.53683317377,-137672.99795528763,301.7594841171315,118.00665634788938,12.4
136000,-168168.66043695982,29930.234712373116,-138238.4257245867,298.91020093988186,118.28780880314031,12.4
138000,-167221.85865777684,29372.898301358335,-137848.9603564185,293.34413905602133,118.21578432320683,12.4
140000,-167815.88460935524,29703.268792921852,-138112.6158164334,296.64351545473147,117.7516399734217,12.4
142000,-167628.83343285182,29877.84914735472,-137750.9842854971,298.387031645806,117.70523120896533,12.4
144000,-168026.5898992234,30212.539115661406,-137814.050783562,301.72954621812767,117.60670481546157,12.4
146000,-167878.70077922405,29832.92906692613,-138045.77171229792,297.93841938478704,117.61117689294333,12.4
148000,-167826.16379376792,29751.912891089916,-138074.250902678,297.12931910103373,119.37599054262795,12.4
150000,-167620.36438667052,29643.213625417557,-137977.15076125297,296.04375062299204,117.88533769592114,12.4
152000,-167879.61353057576,29879.70384753053,-137999.90968304523,298.405554347267,118.14370792221752,12.4
154000,-167732.65099922346,29761.24505825923,-137971.40594096424,297.2225185025951,118.83405263077971,12.4
156000,-168716.83683188027,29726.508047066163,-138990.3287848141,296.8756035152737,117.72055482178801,12.4
158000,-168376.6843393544,29562.62724596681,-138814.0570933876,295.23894267189763,117.52337427798058,12.4
160000,-167670.11312588758,29549.65329500416,-138120.45983088342,295.1093731470844,118.79035778265583,12.4
162000,-168466.0071900154,29486.287593596266,-138979.71959641913,294.4765463509517,117.94467866434026,12.4
164000,-168381.93935712636,29435.089178376948,-138946.85017874942,293.9652330008201,118.0408959892723,12.4
166000,-167835.6052633659,29595.159902629908,-138240.445360736,295.56384299539076,118.68187257488026,12.4
168000,-168113.93439791666,29626.883531421656,-138487.050866495,295.8806636400602,117.98061026343345,12.4
170000,-168157.37735688884,29700.521593521407,-138456.85576336744,296.61607945455637,118.10483002937309,12.4
172000,-167896.14800141507,29636.60590247775,-138259.54209893732,295.97775996803483,118.3982953990629,12.4
174000,-168131.33151824714,29400.558411916485,-138730.77310633066,293.6203777586045,118.35385809035985,12.4
176000,-168231.4504768866,29742.58542824071,-138488.86504864588,297.03616668103746,118.47661384784362,12.4
178000,-168334.6569957569,29462.979643297032,-138871.67735245987,294.24377222891786,118.27139591326268,12.4
180000,-168737.13145173434,29543.40500319656,-139193.72644853778,295.0469720941796,118.26422159885743,12.4
182000,-168338.77840407332,29677.635160039645,-138661.14324403368,296.38751497798035,118.28740506639494,12.4
184000,-168141.18295288552,30392.04837347637,-137749.13457940915,303.52228686449007,117.98069524645103,12.4
186000,-168085.26371451793,30230.749860167038,-137854.5138543509,301.9114150658582,117.48619945156624,12.4
188000,-167679.14264427486,29908.2815151345,-137770.86112914036,298.6909565984683,117.42052761763074,12.4
190000,-167288.42207788804,29958.696760746127,-137329.7253171419,299.1944485136178,118.08357069962521,12.4
192000,-167636.06798206223,30267.488416043343,-137368.5795660189,302.27831927575687,118.40266903410355,12.4
194000,-167648.5913428918,29928.372755536344,-137720.21858735546,298.8916057668881,117.93249607172461,12.4
196000,-167540.64452455845,29931.87714673858,-137608.76737781987,298.9266037643478,117.8845885688788,12.4
198000,-166944.70638699434,29880.790078370133,-137063.9163086242,298.41640242385756,118.29653081186832,12.4
200000,-167206.3260697116,30270.59195403068,-136935.7341156809,302.3093139930498,118.16705752614479,12.4
202000,-167625.3766345781,30611.09382303711,-137014.282811541,305.7098714247976,118.4180575651422,12.4
204000,-167505.5756980636,29741.519486058503,-137764.0562120051,297.0255212251987,117.81112206300612,12.4
206000,-168131.7480188281,30108.058539957274,-138023.68947887083,300.6861093664572,116.77334610534399,12.4
208000,-168103.68359861837,30399.134451445017,-137704.54914717335,303.59305480232416,118.82104530885756,12.4
210000,-167595.3536524251,29815.140558523242,-137780.21309390187,297.760767365943,117.76444376748961,12.4
212000,-167828.9150945117,29788.205222167308,-138040.7098723444,297.4917669093844,118.93559494198564,12.4
214000,-168012.19315939152,29635.83988104557,-138376.35327834595,295.9701097901322,117.79011669924222,12.4
216000,-167636.6749083246,29761.652177867712,-137875.0227304569,297.22658436459545,118.5217052363602,12.4
218000,-167930.0381967309,29757.45464810962,-138172.58354862127,297.18466406308426,117.58786990232144,12.4
220000,-168087.3640645336,29673.8174751997,-138413.5465893339,296.3493881489194,117.69852668619609,12.4
222000,-167947.973414456,29810.468382063205,-138137.5050323928,297.71410681623746,118.28799117107094,12.4
224000,-168192.58654742583,29689.417099836748,-138503.16944758908,296.50518000887826,118.11007964903132,12.4
226000,-168419.25311976078,30038.481069001835,-138380.77205075894,299.99124626150524,117.34507564758003,12.4
228000,-167923.6260962654,30034.807440070435,-137888.81865619496,299.95455810410806,117.40844759491509,12.4
230000,-167618.7828373192,30120.66289514763,-137498.11994217156,300.81198777599434,117.78544639527503,12.4
232000,-167493.25423943216,29744.16395571106,-137749.0902837211,297.05193127386093,118.16991998692677,12.4
234000,-168311.58512756275,29433.39886382327,-138878.18626373948,293.94835200179864,118.15143398832907,12.4
236000,-168367.92223030434,29649.965066945413,-138717.95716335892,296.1111765808276,118.26044252797672,12.4
238000,-167621.53847720497,29498.637743106112,-138122.90073409886,294.5998860342887,118.05240433173094,12.4
240000,-167795.7545059251,29647.105932646897,-138148.64857327822,296.08262269824377,118.12397752962208,12.4
242000,-168170.54335725564,30225.562729814905,-137944.98062744073,301.85961172416177,117.15357868134899,12.4
244000,-167869.83652231458,29713.1648266064,-138156.67169570818,296.7423461336614,118.3895005692227,12.4
246000,-167672.98795310582,29997.151366604958,-137675.83658650087,299.57849073964064,118.052121639424,12.4
248000,-168407.38029883173,30381.70783736941,-138025.67246146232,303.4190169852105,117.91442149337833,12.4
250000,-168381.23684645433,30100.728686152026,-138280.5081603023,300.6129068642102,116.85378537403626,12.4
252000,-168296.66462853353,29895.623553567915,-138401.04107496561,298.5645428275201,117.53045279773349,12.4
254000,-167844.63768631464,29596.391727735987,-138248.24595857866,295.5761451070688,118.58982468127552,12.4
256000,-167980.16270725452,29534.727079175762,-138445.43562807876,294.9603065522042,118.06928683759303,12.4
258000,-167719.07467799739,29676.19187196216,-138042.88280603522,296.3731010071779,118.35365203001098,12.4
260000,-167852.34519447107,29842.004101238213,-138010.34109323286,298.02905082673294,119.01811836234067,12.4
262000,-167750.51129386888,29867.954021654674,-137882.5572722142,298.28821003482466,118.49645837517163,12.4
264000,-168276.4977940668,29957.329621665645,-138319.16817240114,299.18079503508056,117.30071227027788,12.4
266000,-168426.05270938494,29476.47929436015,-138949.5734150248,294.37859186700865,117.19162030715503,12.4
268000,-168064.09959661937,29852.375160814496,-138211.72443580488,298.13262554078705,118.59595464070982,12.4
270000,-168005.1950190371,30022.13005496189,-137983.06496407522,299.8279503522276,119.00031197887101,12.4
272000,-167458.2224347085,29838.398393487325,-137619.82404122117,297.99304099123697,118.80196423757279,12.4
274000,-167725.19138307276,29769.54856472835,-137955.6428183444,297.3054447746756,117.93121160703387,12.4
276000,-167229.74541422434,29700.005588500528,-137529.7398257238,296.61092616504965,118.24264607245526,12.4
