#"Step","Potential Energy (kJ/mole)","Kinetic Energy (kJ/mole)","Total Energy (kJ/mole)","Temperature (K)","Box Volume (nm^3)","Speed (ns/day)"
2000,-180318.04838986578,24840.74049899378,-155477.307890872,249.65745970576666,118.41401565994616,0
4000,-173056.23896321887,28387.11646602617,-144669.1224971927,285.2996828160944,115.96043802332134,135
6000,-170545.73404972034,29514.510561913252,-141031.2234878071,296.6303573617203,115.99542735843004,135
8000,-170172.15995186812,29027.195118859876,-141144.96483300824,291.73267987126775,116.68671579798693,135
10000,-169561.75754921127,29803.65622943663,-139758.10131977464,299.536364646074,117.32205318694464,133
12000,-170279.32395267836,30064.341428998858,-140214.9825236795,302.15633504141033,115.72504745475129,134
14000,-169659.76262480672,29859.735561727895,-139800.02706307883,300.0999800359775,116.9424426379442,134
16000,-169966.65176660195,30009.78375905403,-139956.86800754792,301.608012849226,116.51171559583663,134
18000,-169250.0609315954,29483.979860526277,-139766.08107106911,296.32351395857717,116.19108563250863,134
20000,-169433.12998130126,29361.675610386766,-140071.4543709145,295.09431676929506,117.27281723849792,133
22000,-169957.94651765458,29509.38837816316,-140448.55813949142,296.57887776177654,117.26288541663,134
24000,-169885.28901961085,29967.641415089136,-139917.6476045217,301.1844686903572,116.51083144202157,134
26000,-170117.5119737686,29630.88363411557,-140486.62833965302,297.79994429836427,115.87791310175064,134
28000,-169982.03132731456,29702.96654016222,-140279.06478715234,298.52440076988313,116.47123817867283,134
30000,-169769.5493724274,29948.522208487964,-139821.02716393943,300.9923144930284,116.41424675874369,133
32000,-169413.85773151228,29579.395649831946,-139834.46208168034,297.2824734378583,116.5186393153229,133
34000,-169915.7255228837,29643.90700916527,-140271.81851371843,297.9308334210873,116.6209703166127,133
36000,-169912.1107541197,29722.46352315473,-140189.64723096497,298.72035174187744,116.32726185958172,133
38000,-169530.39695982914,29872.528123757103,-139657.86883607204,300.2285494133465,115.94981441839582,133
40000,-170024.75550884428,29964.3428002304,-140060.41270861388,301.1513165463536,117.28028694934184,133
42000,-169494.34436088928,30035.71081273374,-139458.63354815554,301.86858810702046,116.61734449494091,133
44000,-169385.5003835149,29366.098177800304,-140019.4022057146,295.1387649992456,116.5052142343739,133
46000,-169179.8578864655,29838.10748703219,-139341.7503994333,299.88261090452687,116.77247121393725,133
48000,-169576.3994548159,29876.913319393876,-139699.48613542202,300.27262204487835,116.62186148770895,133
50000,-169855.77011538285,30280.51961824228,-139575.25049714057,304.32899561779254,115.64620885986396,132
52000,-169570.89939978998,29569.278104211786,-140001.6212955782,297.1807888387986,116.1328917065912,132
54000,-170559.77275248105,29738.671953942627,-140821.10079853842,298.8832517027899,116.31681388532586,132
56000,-170046.0840562929,28938.873928915185,-141107.2101273777,290.84502340544395,116.11445029292344,132
58000,-170232.0024390011,29258.37665007077,-140973.62578893034,294.05612887695816,115.98000617365057,132
60000,-169850.0451856834,29325.189029127738,-140524.85615655567,294.72761485109555,116.5246226102358,132
62000,-170132.46433887864,29227.437071871536,-140905.0272670071,293.74517612988114,115.68209874978247,132
64000,-170243.65942672174,29597.05086568382,-140646.60856103792,297.45991405563353,116.2670616695307,132
66000,-170197.78033104388,29778.853758349083,-140418.9265726948,299.2870918063052,116.12614729731347,132
68000,-169659.34077999566,29743.393705834023,-139915.94707416164,298.9307068333089,116.37730191116748,132
70000,-170303.86312855815,29920.717306111474,-140383.14582244668,300.7128662497297,115.9696367180747,132
72000,-169937.98435154813,29355.757192530204,-140582.22715901793,295.03483475958575,116.46855374587187,132
74000,-169569.30756670795,29678.649107565638,-139890.65845914232,298.2800027235014,116.09427560424088,132
76000,-169164.29340171604,29826.550950798148,-139337.7424509179,299.76646398534365,116.57033893248175,132
78000,-169077.05990671203,29415.65133823338,-139661.40856847866,295.6367902555626,116.86674717540429,132
80000,-169942.17008696473,29017.548303685617,-140924.62178327912,291.63572626512405,115.48131803403224,131
82000,-169708.62052984198,29906.524180054665,-139802.09634978732,300.57022075183204,116.49219431504264,131
84000,-169314.0148865946,29692.973814135185,-139621.04107245943,298.42397064802157,116.72847729923477,131
86000,-169570.3944933426,29614.153370817425,-139956.24112252519,297.6317997522952,116.43088032599167,131
88000,-169930.1996202803,29410.56747010618,-140519.63215017412,295.5856957399958,116.48447486009648,131
90000,-170359.03132742038,29433.683182093315,-140925.34814532707,295.81801610638064,115.94049645119614,131
92000,-169609.92694984586,29614.614842245704,-139995.31210760016,297.63643768909566,116.52658560827831,131
94000,-170295.3637884435,29336.568796006963,-140958.79499243654,294.84198518120814,115.90395086400385,131
96000,-169742.5418699528,29103.643856707495,-140638.8980132453,292.50101436151857,117.44705816163321,131
98000,-169777.34672207362,29722.356037361547,-140054.99068471207,298.7192714749634,116.1043040993686,131
100000,-170086.4887727534,29586.296171710535,-140500.19260104286,297.3518259099766,115.97319362030045,131
102000,-169362.23832178826,29731.086445605746,-139631.15187618253,298.80701489567707,115.95432273205554,131
104000,-170148.9363345299,29481.253305482212,-140667.68302904768,296.2961112003511,116.29806015716315,130
106000,-170068.0808851698,29846.66828237113,-140221.41260279866,299.9686496607977,116.04817288545944,130
108000,-169823.73586865445,30092.675951320125,-139731.05991733432,302.4411061360961,117.12975319657487,130
110000,-170262.63673559413,29584.08799825213,-140678.548737342,297.3296330540012,116.40302898532916,130
112000,-170564.31055788486,29272.822235116502,-141291.48832276836,294.2013116691791,116.69797140978515,130
114000,-169629.71320091886,29725.56503983005,-139904.14816108881,298.7515229855216,116.55690108870479,130
116000,-169226.6398594007,30130.6905565653,-139095.9493028354,302.82316518854714,116.20714711509827,130
118000,-169713.67674827762,29420.745922154165,-140292.93082612345,295.6879924683135,116.02325683687319,130
120000,-169325.7485853919,30267.369353381917,-139058.37923201,304.19683121151695,116.10036298984508,130
122000,-169337.44543196156,29907.20614459645,-139430.2392873651,300.5770747155904,117.14208436621432,130
124000,-169156.11826898414,29621.720453731134,-139534.397815253,297.70785137795815,116.2723397950307,130
126000,-169777.72438061482,29770.83343307866,-140006.89094753616,299.2064849486671,115.2784227428545,130
128000,-169255.00196091272,29956.721366021986,-139298.28059489073,301.07471867263627,116.6752389955777,130
130000,-169934.96954909933,29809.606525843497,-140125.36302325584,299.596167045503,115.82641671723002,130
132000,-169684.8687007022,29368.24802627554,-140316.62067442667,295.16037167031493,116.68188057321666,130
134000,-170535.4238451448,29679.813503384124,-140855.61034176068,298.291705277302,115.47094701240312,130
136000,-170500.14938054478,29880.19300505049,-140619.9563754943,300.3055839442909,116.61944399803922,130
138000,-169915.02679631102,29660.876131087774,-140254.15066522325,298.10137857342613,116.22816953298242,130
140000,-170262.68501579936,29372.888075357536,-140889.79694044183,295.20700566122866,116.50000269651318,130
142000,-170205.53002681443,29436.48418395262,-140769.04584286181,295.8461670791286,116.50102512916446,130
144000,-169637.92991639278,29317.55862888717,-140320.3712875056,294.65092686586115,117.20008944128934,130
146000,-169927.09001308994,29802.501433198573,-140124.58857989137,299.5247585711551,116.7274659955729,130
148000,-170226.23682122643,29599.694710201118,-140626.5421110253,297.4864855463696,116.27735636871454,130
150000,-169614.3246706553,29348.36249272409,-140265.96217793121,294.9605156397932,116.8259420924041,130
152000,-170006.40291050414,29827.839175469708,-140178.56373503443,299.779411059085,116.29251339609168,130
154000,-170205.2683715711,29939.47532105469,-140265.7930505164,300.90139035431656,116.34253100339758,130
156000,-169660.2920294928,29553.05381493637,-140107.23821455642,297.017729494968,116.3409600848989,129
158000,-169521.0351612952,29687.312034500297,-139833.7231267949,298.3670679352736,116.14423614004967,129
160000,-169958.29593122285,29416.149152422906,-140542.14677879994,295.64179344884366,116.86524722914291,129
162000,-169907.2099738504,30111.723882504273,-139795.48609134613,302.63254399247876,115.29510381385136,129
164000,-170181.52499758336,30160.172448184894,-140021.35254939846,303.11946771501033,116.08224730948346,129
166000,-170187.0050908639,29621.382136063767,-140565.62295480014,297.7044511762044,116.37439590091125,129
168000,-170123.2260379406,29833.302132644225,-140289.92390529637,299.83431554193356,116.88324990486245,129
170000,-170057.32600767666,29535.695304383058,-140521.6307032936,296.8432708612091,117.28953485043569,129
172000,-169607.54228438123,29699.98412404096,-139907.55816034027,298.4944265252486,116.81716351779869,129
174000,-170268.71642601653,29281.040656198165,-140987.67576981836,294.28390945365834,116.56308157201767,129
176000,-170034.25630227348,29753.72619668534,-140280.53010558814,299.0345517013182,117.11887796759143,129
178000,-169700.89112085558,29916.106348538273,-139784.7847723173,300.66652463786903,116.96431956615551,129
180000,-169530.08978659718,29763.22796572285,-139766.86182087433,299.1300475469719,117.04499846993079,129
182000,-170035.7054267939,29876.553857628023,-140159.15156916587,300.26900933811027,115.94260974964045,129
184000,-169954.25020210794,29611.799291469215,-140342.45091063873,297.60814049503415,116.48769579172688,129
186000,-169889.24786532926,29508.528129596612,-140380.71973573265,296.5702319860257,116.3484553130893,129
188000,-169408.47962026065,30018.746629816247,-139389.7329904444,301.69809259327616,116.10537773464434,129
190000,-169706.8263019533,29458.49744819489,-140248.3288537584,296.0674074898474,116.73169244770921,129
192000,-170390.20653067413,29339.244412123575,-141050.96211855055,294.868875986772,116.27478077243113,129
194000,-170032.34950993094,29655.00052484707,-140377.34898508387,298.0423268342743,116.69973257768378,129
196000,-169653.69489176793,29240.617697498645,-140413.07719426928,293.8776456716619,116.70075429837377,129
