#"Step","Potential Energy (kJ/mole)","Kinetic Energy (kJ/mole)","Total Energy (kJ/mole)","Temperature (K)","Box Volume (nm^3)","Speed (ns/day)"
2000,-168715.54798502935,26798.474294458516,-141917.07369057083,269.33331623571405,117.35270158064645,0
4000,-164617.03263562918,28959.111507229274,-135657.9211283999,291.0484175994574,117.35270158064645,90.4
6000,-163673.8223367706,29550.421105526155,-134123.40123124444,296.9912699156522,117.35270158064645,90.3
8000,-162530.92131106555,29628.187436620006,-132902.73387444555,297.77284664329903,117.35270158064645,90.2
10000,-163143.2745266836,30098.67623007996,-133044.59829660365,302.501410874305,117.35270158064645,88.6
12000,-163069.67485277355,29742.47443327459,-133327.20041949896,298.92146784737866,117.35270158064645,88.9
14000,-162218.8659906052,29486.919036696665,-132731.94695390854,296.35305362774915,117.35270158064645,89
16000,-163163.99739344046,29960.368794655893,-133203.62859878456,301.1113765076648,117.35270158064645,89
18000,-163272.20180869102,30010.987819182395,-133261.21398950863,301.62011404214303,117.35270158064645,89
20000,-163078.04286172986,29463.96422295482,-133614.07863877504,296.1223503406615,117.35270158064645,88.3
22000,-163078.6118015647,29338.773097988655,-133739.83870357604,294.8641391275929,117.35270158064645,86
24000,-163305.1843417883,29385.929160792613,-133919.25518099568,295.338072779041,117.35270158064645,86.3
26000,-163998.96467109025,30026.955038685992,-133972.00963240425,301.780589751794,117.35270158064645,86.5
28000,-163598.36014829576,29371.320153686567,-134227.0399946092,295.19124754236714,117.35270158064645,86.6
30000,-163229.47293686774,29269.625736589776,-133959.84720027796,294.16918582727163,117.35270158064645,86
32000,-162841.01448965073,29551.816519343178,-133289.19797030755,297.00529427490227,117.35270158064645,86.2
34000,-163434.27565675764,29579.023779334297,-133855.25187742335,297.2787360193306,117.35270158064645,86.3
36000,-163373.3022923614,29594.05671146221,-133779.24558089918,297.4298218393019,117.35270158064645,86.4
38000,-163353.00496184826,29876.438557091868,-133476.5664047564,300.267850530507,117.35270158064645,86.4
40000,-162911.92082965374,29161.649398892943,-133750.2714307608,293.0839887825694,117.35270158064645,86.2
42000,-163068.40997980395,29728.19360110862,-133340.21637869533,298.77794087477554,117.35270158064645,85.2
44000,-163163.55399090052,30109.680679689976,-133053.87331121054,302.61200914472323,117.35270158064645,85.3
46000,-162752.34637473524,29691.496876510326,-133060.8494982249,298.4091269481898,117.35270158064645,85.4
48000,-163188.55569660664,29681.293319101445,-133507.2623775052,298.30657790289195,117.35270158064645,85.5
50000,-163322.59513664246,29832.159092607442,-133490.436044035,299.82282762063204,117.35270158064645,85.3
52000,-162767.86857116967,29653.73543373635,-133114.13313743332,298.02961226028594,117.35270158064645,85.4
54000,-163343.56440630555,29694.135383652057,-133649.4290226535,298.4356447965787,117.35270158064645,85.4
56000,-163263.79497766495,29435.615335158654,-133828.1796425063,295.83743486831634,117.35270158064645,85.5
58000,-162626.97042532265,29454.153959196527,-133172.81646612613,296.023754023493,117.35270158064645,85.5
60000,-163149.9084722679,29329.928450576263,-133819.98002169165,294.7752475663667,117.35270158064645,85.4
62000,-162875.664024055,29721.244868934504,-133154.4191551205,298.7081038736267,117.35270158064645,84.7
64000,-163495.384742558,29372.342780623352,-134123.04196193465,295.2015252731488,117.35270158064645,84.8
66000,-163024.03599733114,29156.771389464266,-133867.26460786688,293.03496321336655,117.35270158064645,84.8
68000,-163207.72997149825,29525.912937375368,-133681.81703412288,296.7449549153882,117.35270158064645,84.9
70000,-163332.43248665333,29345.730989784468,-133986.70149686886,294.9340681858962,117.35270158064645,84.8
72000,-163470.36156903207,29467.5991996401,-134002.76236939197,296.1588830295873,117.35270158064645,84.8
74000,-163331.53138136677,29602.425409007818,-133729.10597235896,297.5139299507476,117.35270158064645,84.9
76000,-163305.77118602302,29733.025158087956,-133572.74602793506,298.8264995818694,117.35270158064645,84.9
78000,-163339.88565599918,29292.049294375087,-134047.8363616241,294.39454982052587,117.35270158064645,84.9
80000,-162975.56184893847,29041.677829048014,-133933.88401989045,291.87823578315255,117.35270158064645,84.8
82000,-164225.23409792688,29264.8351916119,-134960.39890631498,294.1210393040297,117.35270158064645,84.4
84000,-163738.56751500815,29745.730206105858,-133992.8373089023,298.95418941517846,117.35270158064645,84.4
86000,-163104.34109455347,29766.44563830318,-133337.8954562503,299.1623861949523,117.35270158064645,84.4
88000,-163240.46405970957,29135.073584090685,-134105.3904756189,292.8168932660967,117.35270158064645,84.5
90000,-163126.59467729926,29483.59702008404,-133642.99765721522,296.3196662885656,117.35270158064645,84.3
92000,-163228.83497254923,30355.137565165758,-132873.69740738347,305.0789300683428,117.35270158064645,84.3
94000,-162734.61870479584,30029.059022342088,-132705.55968245375,301.8017354666274,117.35270158064645,84.3
96000,-163430.16743126512,29635.035740910796,-133795.13169035432,297.84167431180595,117.35270158064645,84.4
98000,-163573.99408924533,29372.653776811087,-134201.34031243424,295.20465088521377,117.35270158064645,84.4
100000,-163550.60375259072,29256.486352048116,-134294.1174005426,294.03713077171074,117.35270158064645,84.3
102000,-163317.44132959843,29502.01881300891,-133815.42251658952,296.5048112533478,117.35270158064645,83.9
104000,-163427.37278163433,29182.400494287023,-134244.9722873473,293.29254398898155,117.35270158064645,84
106000,-163384.31129825115,29136.54506014305,-134247.7662381081,292.83168207536215,117.35270158064645,84
108000,-163357.6903681755,29958.678165117744,-133399.01220305776,301.0943851351324,117.35270158064645,84
110000,-163068.55378431082,29790.944813199036,-133277.60897111177,299.40861081010155,117.35270158064645,83.9
112000,-163419.47560496442,30029.32507136708,-133390.15053359733,301.8044093451996,117.35270158064645,83.9
114000,-163708.0898310542,28861.74929758464,-134846.34053346957,290.06989596753573,117.35270158064645,83.9
116000,-163855.08900249004,29066.82672640565,-134788.2622760844,292.1309903187495,117.35270158064645,83.9
118000,-163332.40837049484,29949.591595271602,-133382.81677522324,301.00306217536325,117.35270158064645,83.9
120000,-163539.45795208216,29854.006499446696,-133685.45145263546,300.04240111091775,117.35270158064645,83.8
