#"Step","Potential Energy (kJ/mole)","Kinetic Energy (kJ/mole)","Total Energy (kJ/mole)","Temperature (K)","Box Volume (nm^3)","Speed (ns/day)"
2000,-176628.62518203212,26531.93013525894,-150096.69504677318,266.6544614049625,117.35270158064645,0
4000,-171203.4291715559,28153.237479049363,-143050.19169250655,282.9491235093155,117.35270158064645,157
6000,-169967.48563386686,29340.28385101678,-140627.20178285008,294.87932268314194,117.35270158064645,156
8000,-170080.43648813502,29864.93922680826,-140215.49726132676,300.15227854958965,117.35270158064645,156
10000,-170071.010300735,29649.080089902884,-140421.93021083213,297.98282455218333,117.35270158064645,153
12000,-169785.15771337016,29490.187523050932,-140294.97019031923,296.38590297055845,117.35270158064645,153
14000,-170419.9311131467,29743.93498392508,-140675.99612922163,298.9361468528289,117.35270158064645,154
16000,-170209.54346552864,29631.8259809016,-140577.71748462704,297.8094151877193,117.35270158064645,154
18000,-168946.72737804148,29574.661350456066,-139372.06602758542,297.2348922010704,117.35270158064645,154
20000,-169339.02381919604,29456.33316205349,-139882.69065714255,296.04565571557316,117.35270158064645,153
22000,-169441.29550550412,29872.642607854214,-139568.6528976499,300.2297000154738,117.35270158064645,153
24000,-169994.18790245452,29083.0759455387,-140911.11195691582,292.2943002156958,117.35270158064645,153
26000,-170289.2444768031,29778.744871525792,-140510.49960527732,299.28599745858645,117.35270158064645,153
28000,-169303.7985667768,30148.260851179337,-139155.53771559746,302.9997523204726,117.35270158064645,153
30000,-169780.01085702912,29387.693210966885,-140392.31764606223,295.3558020526639,117.35270158064645,152
32000,-169981.29111471726,29931.741364530753,-140049.5497501865,300.8236615950101,117.35270158064645,152
34000,-169283.4379645991,29518.69018284441,-139764.7477817547,296.6723639011086,117.35270158064645,152
36000,-169068.1583927062,29612.13325792877,-139456.02513477742,297.61149696574495,117.35270158064645,152
38000,-169973.52820071066,29264.3013400567,-140709.22686065396,294.11567392359194,117.35270158064645,152
40000,-169453.72521001403,30045.191678466974,-139408.53353154706,301.96387386771937,117.35270158064645,152
42000,-169070.44149094215,29657.405710279476,-139413.03578066267,298.06649972417665,117.35270158064645,152
44000,-169991.60840913584,29635.58210388245,-140356.02630525338,297.8471654360172,117.35270158064645,152
46000,-170002.94649610948,29829.446868008934,-140173.49962810054,299.7955688880092,117.35270158064645,152
48000,-169387.20553736074,29545.432344795918,-139841.77319256484,296.94113126012206,117.35270158064645,152
50000,-169671.5104650415,30112.776601993653,-139558.73386304785,302.64312416312674,117.35270158064645,151
52000,-169824.45377046906,29743.988539458194,-140080.46523101086,298.93668510322254,117.35270158064645,151
54000,-169616.48832920555,29408.77968612872,-140207.70864307682,295.56772793399045,117.35270158064645,151
56000,-169982.11319805146,29487.708961806376,-140494.4042362451,296.3609926300609,117.35270158064645,151
58000,-169645.4142394876,29744.907621649094,-139900.50661783852,298.9459221758875,117.35270158064645,151
60000,-169348.67106966767,29797.36521169781,-139551.30585796986,299.47313788728627,117.35270158064645,151
62000,-170224.50974419666,30104.717809591442,-140119.79193460522,302.56213069839833,117.35270158064645,151
64000,-169571.09095389047,29591.723157197237,-139979.36779669323,297.4063688657522,117.35270158064645,151
66000,-169711.21297018207,29933.703727946617,-139777.50924223545,300.8433839807193,117.35270158064645,151
68000,-169891.45323912008,29745.5845207877,-140145.86871833238,298.952725230709,117.35270158064645,151
70000,-169781.8018104427,29785.189125509816,-139996.6126849329,299.35076429109756,117.35270158064645,151
72000,-169686.02848389186,29535.474426251487,-140150.55405764037,296.8410509646953,117.35270158064645,151
74000,-169985.71841633902,29593.73791381647,-140391.98050252255,297.42661782006587,117.35270158064645,151
76000,-169432.5640160062,29533.208817401784,-139899.3551986044,296.81828086449934,117.35270158064645,151
78000,-169668.01194401574,29347.228097151266,-140320.78384686448,294.94911459814455,117.35270158064645,151
80000,-169920.61796493328,29625.28660826251,-140295.33135667077,297.74369238202394,117.35270158064645,150
82000,-170287.46268634778,29715.30513764522,-140572.15754870255,298.64840765703946,117.35270158064645,150
84000,-169817.37811016222,29669.771241755923,-140147.6068684063,298.1907773066604,117.35270158064645,150
86000,-169810.04566196958,29732.24026796734,-140077.80539400224,298.81861118282313,117.35270158064645,150
88000,-169791.06031590083,29633.464314603945,-140157.5960012969,297.8258809702226,117.35270158064645,150
90000,-169143.59795176494,30019.38955612763,-139124.2083956373,301.7045542102188,117.35270158064645,150
92000,-169071.7160216018,29984.086789196997,-139087.6292324048,301.34975000811204,117.35270158064645,150
94000,-169829.9926881108,29855.417143972823,-139974.57554413797,300.05657854371026,117.35270158064645,150
